left;top;width;height;transcription
[596, 230, 229, 596];[532, 521, 539, 549];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
544;498;138;18;80.168.355-5
[748, 682, 683, 751];[502, 500, 512, 513];-1;-1;REGISTRO
[749, 704, 705, 750];[487, 485, 497, 498];-1;-1;GERAL
[751, 708, 708, 751];[457, 456, 467, 468];-1;-1;NOME
440;431;321;20;MORA ROZILEY MINAMI
[752, 690, 690, 753];[389, 389, 403, 402];-1;-1;FILIAÇÃO
430;364;332;20;KITANO GALUZIO MOON
443;333;322;19;OSTERMAYER MIGLIORI
613;268;153;18;JACIARA-MT
[755, 648, 648, 755];[303, 300, 288, 291];-1;-1;NATURALIDADE
[756, 665, 666, 758];[225, 223, 236, 236];-1;-1;DOC ORIGEM
552;200;214;24;TRÊS PONTAS-MG
563;165;163;19;566.732.659-06
[758, 731, 731, 759];[155, 156, 167, 167];-1;-1;CPF
699;101;68;18;NH 39
[519, 331, 329, 520];[64, 59, 75, 78];-1;-1;LEI Nº7 116 DE 29/08/83
330;113;252;14;FRANCCO QUELUZ BELIZE
[518, 344, 345, 519];[94, 89, 102, 106];-1;-1;ASSINATURA DO DIRETOR
155;89;53;16;1 VIA
171;258;112;21;13/05/1985
[257, 105, 105, 258];[290, 285, 272, 276];-1;-1;DATA DE NASCIMENTO
158;487;121;18;29/07/1962
[360, 303, 303, 361];[504, 502, 490, 492];-1;-1;DATA DE
[360, 283, 282, 361];[475, 473, 488, 489];-1;-1;EXPEDIÇÃO
357;229;308;19;C.NAS=186 LV=465 FL=97
