left;top;width;height;transcription
[738, 282, 282, 736];[598, 591, 612, 618];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
665;558;137;19;20.749.721-7
[926, 833, 833, 926];[568, 566, 581, 582];-1;-1;REGISTRO
[927, 865, 865, 926];[551, 551, 566, 567];-1;-1;GERAL
[927, 873, 873, 929];[516, 516, 530, 531];-1;-1;NOME
558;481;368;20;SPERANZA REBERTE YEU
[928, 843, 843, 928];[439, 437, 452, 455];-1;-1;FILIAÇÃO
480;404;445;21;LEGNARO YUSSUKE BLANQUES
418;365;509;20;GALLETI MARINHEIRO TRINTINALIA
[929, 789, 789, 929];[324, 321, 337, 339];-1;-1;NATURALIDADE
711;289;217;24;CARANAÍBA-MG
[929, 808, 808, 930];[245, 243, 260, 261];-1;-1;DOC ORIGEM
538;209;388;22;C.NAS=141 LV=220 FL=230
[928, 891, 890, 930];[165, 165, 181, 181];-1;-1;CPF
858;134;79;11;JURUTI-PA
690;170;163;20;276.007.420-04
[635, 404, 404, 634];[87, 85, 100, 103];-1;-1;ASSINATURA DO DIRETOR
[631, 390, 390, 630];[55, 51, 72, 73];-1;-1;LEI Nº7 116 DE 29/08/83
221;90;64;16;NH 26
[441, 369, 370, 444, 444];[560, 559, 575, 575, 561];-1;-1;DATA DE
[445, 345, 345, 446];[546, 544, 561, 560];-1;-1;EXPEDIÇÃO
198;553;111;21;05/11/1951
171;282;112;16;13/12/1982
[310, 108, 109, 310];[314, 313, 328, 330];-1;-1;DATA DE NASCIMENTO
