left;top;width;height;transcription
[521, 525, 506, 503];[236, 600, 600, 235];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
462;165;14;104;51.478.882-3
[465, 465, 454, 453];[82, 127, 127, 81];-1;-1;GERAL
[480, 481, 468, 468];[82, 149, 148, 82];-1;-1;REGISTRO
[436, 437, 424, 424];[82, 124, 124, 82];-1;-1;NOME
398;85;16;359;SPECIAN SUGUINO SUKADOLNIK
[372, 372, 358, 358];[83, 144, 144, 83];-1;-1;FILIAÇÃO
331;90;14;254;YUUMA OYAGAWA CARLIS
296;88;18;370;CHIEREGATTI TEJADA JULIETH
[272, 274, 262, 261];[82, 189, 190, 82];-1;-1;NATURALIDADE
227;86;18;71;IVAÍ-PR
[207, 208, 196, 195];[84, 174, 174, 84];-1;-1;DOC ORIGEM
192;184;20;234;C.NAS=444 LV=106 FL=6
161;87;12;116;BARROSO-MG
[140, 140, 128, 127];[86, 110, 110, 85];-1;-1;CPF
127;126;21;138;961.397.194-70
62;87;14;50;NH 55
[58, 60, 45, 42];[328, 516, 517, 328];-1;-1;LEI Nº7 116 DE 29/08/83
92;265;12;270;DAIANA SHUGASTRU NAKAHARA
[72, 74, 86, 84];[329, 501, 500, 330];-1;-1;ASSINATURA DO DIRETOR
70;643;14;46;4 VIA
235;565;15;98;08/12/1994
[278, 279, 268, 266];[579, 729, 729, 579];-1;-1;DATA DE NASCIMENTO
464;566;15;96;23/03/1987
[486, 487, 473, 474];[468, 526, 525, 467];-1;-1;DATA DE
[458, 459, 474, 473];[468, 545, 544, 467];-1;-1;EXPEDIÇÃO
