left;top;width;height;transcription
[583, 217, 217, 584];[503, 498, 514, 518];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
552;471;116;16;97.409.690-8
[732, 666, 667, 732];[486, 485, 473, 473];-1;-1;REGISTRO
[732, 686, 687, 732];[458, 458, 469, 471];-1;-1;GERAL
[733, 692, 691, 733];[441, 441, 429, 429];-1;-1;NOME
484;405;265;15;TANYSE GOUSSEVA LIKIER
[734, 670, 671, 735];[377, 376, 361, 362];-1;-1;FILIAÇÃO
541;340;210;15;FRIGULHA FEO LIKA
467;307;284;15;LUCINETE BELON BASSETTO
627;262;108;14;NATURALIDADE
643;196;92;14;DOC ORIGEM
573;144;139;15;435.899.778-33
[736, 711, 710, 738];[128, 129, 142, 140];-1;-1;CPF
693;78;58;15;NH 25
[499, 309, 309, 499];[37, 34, 53, 54];-1;-1;LEI Nº7 116 DE 29/08/83
345;85;216;13;ALTACYR HOSOKAWA RAFID
[497, 325, 325, 497];[68, 66, 78, 79];-1;-1;ASSINATURA DO DIRETOR
142;76;48;15;1 VIA
623;175;128;18;CÁCERES-MT
[236, 86, 85, 238];[271, 270, 257, 259];-1;-1;DATA DE NASCIMENTO
420;242;330;19;SANTA MARIA DO CAMBUCÁ-PE
186;470;80;12;18/03/1983
[345, 287, 288, 345];[482, 481, 469, 470];-1;-1;DATA DE
[346, 265, 266, 346];[455, 455, 467, 469];-1;-1;EXPEDIÇÃO
146;236;124;18;07/10/1976
292;204;363;20;C.NAS=280 LV=243 FL=153
