left;top;width;height;transcription
33;265;22;431;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
80;626;20;163;23.389.537-1
80;788;15;87;REGISTRO
96;820;15;55;GERAL
134;824;15;53;NOME
156;532;22;349;ABED LAPATE WELBER
215;797;17;80;FILIAÇÃO
284;582;19;302;AYUSSO REIFF JAROVS
[339, 335, 352, 355];[878, 749, 748, 878];-1;-1;NATURALIDADE
361;718;24;164;LUCÉLIA-SP
[421, 420, 434, 436];[876, 765, 764, 877];-1;-1;DOC ORIGEM
405;405;20;362;C.NAS=115 LV=238 FL=418
450;723;18;159;AGUANIL-MG
[505, 505, 519, 519];[877, 843, 844, 877];-1;-1;CPF
488;662;20;175;502.947.802-70
541;740;9;145;AMARAL FERRADOR-RS
575;749;16;64;NH 33
549;415;15;251;REINA QUILLES VELLOZO
[582, 580, 596, 597];[601, 385, 385, 600];-1;-1;ASSINATURA DO DIRETOR
[615, 610, 632, 633];[595, 373, 374, 595];-1;-1;LEI Nº7 116 DE 29/08/83
567;171;23;58;5 VIA
363;201;18;124;28/03/1985
[334, 335, 350, 349];[295, 103, 103, 297];-1;-1;DATA DE NASCIMENTO
74;197;18;124;23/11/2006
[75, 74, 90, 90];[420, 349, 349, 420];-1;-1;DATA DE
[106, 107, 91, 91];[420, 324, 324, 420];-1;-1;EXPEDIÇÃO
486;358;24;176;56852/9523
