left;top;width;height;transcription
[317, 510, 510, 315];[523, 527, 511, 507];-1;-1;LEI Nº7 116 DE 29/08/83
253;464;218;13;OLTRAMARI SHIGA SUSAKI
127;421;149;15;553.633.505-72
85;387;91;15;VIGIA-PA
[76, 76, 104, 104];[438, 426, 426, 439];-1;-1;CPF
184;355;322;19;C.NAS=253 LV=439 FL=3
[78, 168, 169, 77];[370, 370, 358, 357];-1;-1;DOC ORIGEM
87;322;130;16;ARARAS-SP
[77, 187, 188, 76];[302, 304, 292, 290];-1;-1;NATURALIDADE
83;256;406;18;VADINAL MARGIOTA BOMBARDA
86;222;427;19;CLEMENTINO PAQUOLA PAGNOTTA
[83, 145, 145, 80, 80];[204, 204, 190, 191, 205];-1;-1;FILIAÇÃO
88;156;326;18;KEIDY AVILAR UNGARETTI
[80, 126, 124, 80];[137, 139, 125, 124];-1;-1;NOME
[80, 129, 129, 83];[109, 109, 97, 97];-1;-1;GERAL
[82, 151, 151, 82];[91, 94, 79, 79];-1;-1;REGISTRO
166;89;137;19;02.477.083-8
568;94;114;18;04/10/2001
568;328;114;18;11/05/2008
[585, 744, 742, 584];[310, 313, 298, 297];-1;-1;DATA DE NASCIMENTO
[236, 608, 608, 235];[57, 63, 46, 40];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
[478, 555, 555, 477];[115, 116, 100, 99];-1;-1;EXPEDIÇÃO
[477, 534, 532, 475];[85, 86, 99, 98];-1;-1;DATA DE
647;493;52;16;5 VIA
80;486;60;16;NH 62
314;482;186;15;ASSINATURA DO DIRETOR
