left;top;width;height;transcription
[616, 252, 252, 617];[521, 525, 506, 503];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
583;462;104;14;06.343.926-8
[770, 725, 725, 771];[465, 465, 454, 453];-1;-1;GERAL
[770, 703, 704, 770];[480, 481, 468, 468];-1;-1;REGISTRO
[770, 728, 728, 770];[436, 437, 424, 424];-1;-1;NOME
478;398;289;16;AZOUBEL UEKI RUGGIERO
[769, 708, 708, 769];[372, 372, 358, 358];-1;-1;FILIAÇÃO
548;331;213;14;TAGA GLENAN PERON
423;296;340;18;BASTIDES MAAT CAMPANHA
[770, 663, 662, 770];[272, 274, 262, 261];-1;-1;NATURALIDADE
563;227;203;17;DOIS CÓRREGOS-SP
[768, 678, 678, 768];[207, 208, 196, 195];-1;-1;DOC ORIGEM
413;197;255;15;C.NAS=316 LV=346 FL=210
649;161;116;12;LARANJAL-PR
[766, 742, 742, 767];[140, 140, 128, 127];-1;-1;CPF
590;128;135;15;750.046.903-91
715;62;50;14;NH 45
[524, 336, 335, 524];[58, 60, 45, 42];-1;-1;LEI Nº7 116 DE 29/08/83
346;92;241;12;MEGID HASEGAWA SOLIAMAN
[523, 351, 352, 522];[72, 74, 86, 84];-1;-1;ASSINATURA DO DIRETOR
163;70;45;14;1 VIA
191;235;96;15;20/07/2001
[273, 123, 123, 273];[278, 279, 268, 266];-1;-1;DATA DE NASCIMENTO
192;465;94;14;07/02/1971
[384, 326, 327, 385];[486, 487, 473, 474];-1;-1;DATA DE
[384, 307, 308, 385];[458, 459, 474, 473];-1;-1;EXPEDIÇÃO
