left;top;width;height;transcription
[311, 782, 781, 308];[77, 90, 110, 100];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
359;130;137;19;81.296.905-4
[144, 332, 332, 142];[153, 158, 136, 134];-1;-1;REGISTRO GERAL
232;177;349;19;KURATA BRAUN MARCELO
[210, 142, 142, 210];[202, 201, 183, 185];-1;-1;NOME
[143, 241, 242, 141];[252, 253, 233, 231];-1;-1;FILIAÇÃO
246;269;184;12;PELOZO CRISTOFANI O
[142, 311, 311, 138];[314, 319, 335, 332];-1;-1;NATURALIDADE
[612, 851, 853, 610, 610];[342, 348, 332, 325, 342];-1;-1;DATA DE NASCIMENTO
[633, 856, 857, 632];[164, 169, 148, 144];-1;-1;DATA DE EXPEDIÇÃO
[755, 981, 981, 755];[607, 613, 595, 591];-1;-1;É PROIBIDO PLASTIFICAR
[421, 653, 653, 421];[622, 628, 612, 608];-1;-1;ASSINATURA DO DIRETOR
[416, 652, 653, 415, 414];[647, 653, 635, 629, 645];-1;-1;LEI Nº7 116 DE 29/08/83
434;565;211;13;NISHIO THACIA STIPANICH
[136, 186, 185, 138];[512, 513, 495, 495];-1;-1;CPF
137;543;125;11;BOSSOROCA-RS
207;495;110;12;882.183.970-27
[140, 285, 285, 139];[412, 415, 398, 393];-1;-1;DOC ORIGEM
314;399;396;18;CMC= SERRA AZUL DE MINAS-MG ,SEDE
313;433;272;15;C.NAS=271 LV=422 FL=143
245;234;201;20;SEMI BORDOTTI JUS
858;148;95;14;30/03/1996
858;331;80;12;13/07/1987
314;315;92;17;CUPIRA-PE
