left;top;width;height;transcription
[514, 321, 322, 515];[36, 38, 53, 51];-1;-1;LEI Nº7 116 DE 29/08/83
[516, 339, 339, 516];[66, 67, 79, 77];-1;-1;ASSINATURA DO DIRETOR
387;82;191;17;CASADEI RAIA BAYARD
150;67;48;15;7 VIA
696;59;64;16;NH 02
[760, 733, 734, 760];[119, 120, 133, 131];-1;-1;CPF
581;126;139;16;217.178.760-05
615;157;143;18;CALÇOENE-AP
[759, 667, 668, 761];[186, 189, 202, 201];-1;-1;DOC ORIGEM
378;196;282;16;C.NAS=165 LV=103 FL=15
560;227;201;18;SALTO DO JACUÍ-RS
[763, 652, 652, 762];[253, 255, 267, 266];-1;-1;NATURALIDADE
477;293;284;15;BRAGHETO KAREM TOMYO
[263, 110, 110, 262];[258, 260, 273, 270];-1;-1;DATA DE NASCIMENTO
182;232;99;15;06/07/1975
487;327;275;15;BETTINARDI FABIO MLAKER
[763, 698, 699, 762];[352, 352, 368, 367];-1;-1;FILIAÇÃO
353;394;412;19;ALEXANDRITA MARRERO VIANELLO
[763, 718, 719, 764];[419, 419, 433, 431];-1;-1;NOME
[763, 716, 717, 763];[448, 449, 462, 460];-1;-1;GERAL
[762, 696, 696, 763];[476, 477, 464, 463];-1;-1;REGISTRO
547;461;135;17;22.564.631-6
[607, 240, 241, 607];[503, 504, 519, 517];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
170;466;114;16;02/04/2006
[375, 296, 296, 374];[452, 454, 467, 467];-1;-1;EXPEDIÇÃO
[374, 315, 315, 375];[481, 480, 467, 468];-1;-1;DATA DE
