left;top;width;height;transcription
[616, 252, 252, 617];[521, 525, 506, 503];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
583;462;104;14;00.722.900-8
[770, 725, 725, 771];[465, 465, 454, 453];-1;-1;GERAL
[770, 703, 704, 770];[480, 481, 468, 468];-1;-1;REGISTRO
[770, 728, 728, 770];[436, 437, 424, 424];-1;-1;NOME
386;398;381;16;BECEGATO NISHIKIDO FUNAGOSHI
[769, 708, 708, 769];[372, 372, 358, 358];-1;-1;FILIAÇÃO
519;331;243;14;LEYLA MAZZEU NATALLY
382;296;382;18;COSTADELLA CROCI TAKIMOTO
[770, 663, 662, 770];[272, 274, 262, 261];-1;-1;NATURALIDADE
656;227;110;18;CANDÓI-PR
[768, 678, 678, 768];[207, 208, 196, 195];-1;-1;DOC ORIGEM
424;192;244;20;C.NAS=246 LV=172 FL=96
637;161;127;12;TABULEIRO-MG
[766, 742, 742, 767];[140, 140, 128, 127];-1;-1;CPF
588;128;137;20;793.678.407-13
716;62;49;14;NH 03
[524, 336, 335, 524];[58, 60, 45, 42];-1;-1;LEI Nº7 116 DE 29/08/83
392;91;195;13;DIEZ TROTTA YOSHIOKA
[523, 351, 352, 522];[72, 74, 86, 84];-1;-1;ASSINATURA DO DIRETOR
163;70;46;14;4 VIA
189;235;97;15;15/10/1960
[273, 123, 123, 273];[278, 279, 268, 266];-1;-1;DATA DE NASCIMENTO
190;464;95;15;10/04/1993
[384, 326, 327, 385];[486, 487, 473, 474];-1;-1;DATA DE
[384, 307, 308, 385];[458, 459, 474, 473];-1;-1;EXPEDIÇÃO
