left;top;width;height;transcription
[24, 20, 39, 43];[603, 230, 229, 603];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
69;548;15;125;22.004.028-5
[75, 74, 87, 88];[757, 692, 691, 758];-1;-1;REGISTRO
[102, 102, 89, 91];[757, 712, 713, 758];-1;-1;GERAL
[120, 119, 132, 132];[758, 715, 715, 758];-1;-1;NOME
135;475;16;278;RIBERI MANFRIM TORRE
[185, 185, 202, 202];[757, 692, 693, 757];-1;-1;FILIAÇÃO
236;434;16;316;SCARLAT LAVRADA PALMER
[287, 286, 298, 298];[755, 647, 648, 757];-1;-1;NATURALIDADE
300;611;18;137;ITANHÉM-BA
334;369;16;280;C.NAS=278 LV=345 FL=429
[354, 354, 365, 367];[754, 663, 663, 755];-1;-1;DOC ORIGEM
370;574;15;173;CABACEIRAS-PB
404;570;16;138;421.372.080-24
[423, 423, 436, 436];[753, 727, 728, 754];-1;-1;CPF
445;404;11;170;KOOJI NOBU SATTOLO
[479, 476, 464, 467];[508, 331, 332, 510];-1;-1;ASSINATURA DO DIRETOR
[493, 490, 505, 507];[509, 316, 316, 508];-1;-1;LEI Nº7 116 DE 29/08/83
470;689;15;58;NH 46
299;171;15;99;08/10/1995
[280, 279, 291, 293];[250, 93, 93, 250];-1;-1;DATA DE NASCIMENTO
65;168;15;106;23/09/2016
[71, 70, 83, 84];[365, 308, 308, 364];-1;-1;DATA DE
[99, 98, 82, 85];[363, 286, 286, 364];-1;-1;EXPEDIÇÃO
466;145;14;42;1 VIA
