left;top;width;height;transcription
[229, 595, 595, 228];[77, 82, 66, 62];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
144;93;116;16;88.741.439-4
[80, 146, 145, 80];[94, 95, 107, 107];-1;-1;REGISTRO
[80, 126, 125, 80];[122, 122, 111, 109];-1;-1;GERAL
[79, 120, 121, 79];[139, 139, 151, 151];-1;-1;NOME
62;160;226;15;LICKA AKAO BRENAND
[78, 142, 141, 77];[203, 204, 219, 218];-1;-1;FILIAÇÃO
62;225;277;15;TINDO LUTTZOLFF RAINHA
62;258;265;15;TONOLI DIEHL KOYANAGUI
77;304;108;14;NATURALIDADE
77;370;92;14;DOC ORIGEM
101;421;139;15;062.410.711-65
[76, 101, 102, 74];[452, 451, 438, 440];-1;-1;CPF
61;487;58;15;NH 93
[313, 503, 503, 313];[543, 546, 527, 526];-1;-1;LEI Nº7 116 DE 29/08/83
251;482;231;11;ROMINA MICHELLY WATANABE
[315, 487, 487, 315];[512, 514, 502, 501];-1;-1;ASSINATURA DO DIRETOR
621;489;49;15;8 VIA
61;390;64;15;ITU-SP
[576, 726, 727, 574];[309, 310, 323, 321];-1;-1;DATA DE NASCIMENTO
62;321;124;17;SUMARÉ-SP
545;98;81;12;27/08/2016
[467, 525, 524, 467];[98, 99, 111, 110];-1;-1;DATA DE
[466, 547, 546, 466];[125, 125, 113, 111];-1;-1;EXPEDIÇÃO
542;326;124;18;09/04/1975
157;356;362;20;C.NAS=115 LV=330 FL=298
