left;top;width;height;transcription
36;220;18;367;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
77;515;19;147;01.610.273-3
72;672;13;69;REGISTRO
86;693;14;47;GERAL
116;697;14;44;NOME
144;503;18;238;SILVANO FIOROTTO
181;678;15;62;FILIAÇÃO
281;634;14;106;NATURALIDADE
243;450;18;289;VERSEHGI KUDA TOLOI
304;546;22;195;SÃO ROMÃO-MG
347;649;13;92;DOC ORIGEM
375;577;18;162;SERICITA-MG
415;715;13;26;CPF
474;678;16;64;NH 22
402;566;19;134;185.537.089-18
342;415;14;227;C.NAS=151 LV=78 FL=79
[500, 501, 516, 516];[501, 310, 310, 501];-1;-1;LEI Nº7 116 DE 29/08/83
[283, 284, 295, 295];[241, 89, 89, 242];-1;-1;DATA DE NASCIMENTO
308;168;14;95;16/01/2018
474;140;14;43;6 VIA
458;361;9;171;MIYAKUCHI ERICK NYCOLAS
[487, 488, 476, 476];[500, 326, 327, 500];-1;-1;ASSINATURA DO DIRETOR
78;140;18;123;24/01/1957
72;290;14;60;DATA DE
86;272;14;79;EXPEDIÇÃO
405;291;25;149;36776/7586
