left;top;width;height;transcription
[322, 783, 783, 321];[47, 57, 78, 67];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
228;83;168;20;22.589.660-6
131;159;288;20;ARTESE HIROYUKI M
[127, 204, 204, 126];[227, 229, 211, 211];-1;-1;FILIAÇÃO
[128, 211, 211, 127];[82, 84, 98, 96];-1;-1;REGISTRO
[127, 184, 184, 127];[114, 115, 101, 100];-1;-1;GERAL
[127, 180, 180, 126];[150, 151, 135, 135];-1;-1;NOME
130;238;379;20;NASTASJA FARINA FESSEL
127;274;349;23;GIUSEPIN UBRIG MISAKA
[126, 259, 259, 125];[344, 345, 332, 328];-1;-1;NATURALIDADE
[126, 238, 237, 124];[421, 422, 408, 406];-1;-1;DOC ORIGEM
[126, 158, 158, 125];[502, 501, 487, 487];-1;-1;CPF
126;550;68;18;NH 59
179;474;188;19;836.693.402-03
128;434;212;28;IRAUÇUBA-CE
253;396;388;22;C.NAS=200 LV=366 FL=120
128;349;179;29;TUTÓIA-MA
735;367;122;19;12/09/1964
[751, 942, 942, 751];[342, 345, 360, 356];-1;-1;DATA DE NASCIMENTO
826;563;59;18;6 VIA
733;94;134;19;03/01/1958
[618, 688, 689, 617];[106, 108, 93, 91];-1;-1;DATA DE
[617, 713, 713, 617];[125, 126, 108, 106];-1;-1;EXPEDIÇÃO
[428, 669, 668, 427];[618, 622, 603, 598];-1;-1;LEI Nº7 116 DE 29/08/83
[430, 647, 647, 430];[580, 587, 573, 567];-1;-1;ASSINATURA DO DIRETOR
