left;top;width;height;transcription
[69, 77, 55, 47];[875, 326, 328, 878];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
107;794;24;188;34.111.349-9
[110, 114, 94, 92];[1104, 990, 992, 1106];-1;-1;REGISTRO
[131, 134, 113, 112];[1106, 1035, 1036, 1106];-1;-1;GERAL
156;479;28;531;ABUMANSUR ZINK ANDREA
[177, 180, 157, 156];[1106, 1040, 1042, 1109];-1;-1;NOME
205;904;23;195;FERNANDES
[279, 280, 260, 260];[1106, 1008, 1009, 1107];-1;-1;FILIAÇÃO
301;614;27;484;LAKY YOSIOKA GERVAZIO
353;528;24;576;CHINWA NAGATSUYU BANNWART
[424, 428, 406, 405];[1111, 945, 946, 1111];-1;-1;NATURALIDADE
442;928;30;175;ABARÉ-BA
498;510;29;441;C.NAS=37 LV=363 FL=268
[524, 525, 505, 504];[1111, 966, 966, 1111];-1;-1;DOC ORIGEM
552;865;23;240;BOM JESUS-PB
[628, 628, 606, 607];[1110, 1069, 1070, 1115];-1;-1;CPF
602;819;24;224;713.796.177-07
667;1017;12;103;ITAPEVA-MG
[724, 729, 712, 706];[758, 484, 485, 760];-1;-1;ASSINATURA DO DIRETOR
[769, 773, 746, 746];[753, 469, 469, 754];-1;-1;LEI Nº7 116 DE 29/08/83
710;195;22;72;1 VIA
459;231;25;159;26/04/1974
[435, 440, 418, 415];[371, 126, 127, 371];-1;-1;DATA DE NASCIMENTO
115;238;22;146;22/12/1951
[137, 142, 119, 118];[525, 403, 402, 527];-1;-1;EXPEDIÇÃO
[97, 101, 119, 119];[527, 434, 435, 528];-1;-1;DATA DE
700;1019;23;87;NH 78
