left;top;width;height;transcription
[61, 72, 54, 44];[596, 230, 229, 596];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
77;545;18;137;39.077.900-3
[91, 93, 81, 80];[748, 682, 683, 751];-1;-1;REGISTRO
[106, 108, 96, 95];[749, 704, 705, 750];-1;-1;GERAL
[136, 137, 126, 125];[751, 708, 708, 751];-1;-1;NOME
142;515;20;246;NAIM CRAIG SISSI
[204, 204, 190, 191];[752, 690, 690, 753];-1;-1;FILIAÇÃO
209;358;20;405;THASSIA FIGUEIRA BUCHELE
241;431;19;333;PIEROBON SALA GERBA
307;609;18;155;MIRANTE-BA
[290, 293, 305, 302];[755, 648, 648, 755];-1;-1;NATURALIDADE
[368, 370, 357, 357];[756, 665, 666, 758];-1;-1;DOC ORIGEM
375;549;23;218;CELSO RAMOS-SC
409;564;19;163;247.032.356-84
[438, 437, 426, 426];[758, 731, 731, 759];-1;-1;CPF
474;702;18;65;NH 31
[529, 534, 518, 515];[519, 331, 329, 520];-1;-1;LEI Nº7 116 DE 29/08/83
466;234;14;348;LUGAO CHARLESTON FRANCESCUC
[499, 504, 491, 487];[518, 344, 345, 519];-1;-1;ASSINATURA DO DIRETOR
488;155;16;55;9 VIA
314;174;21;110;30/04/2001
[303, 308, 321, 317];[257, 105, 105, 258];-1;-1;DATA DE NASCIMENTO
88;162;18;117;03/04/1955
[89, 91, 103, 101];[360, 303, 303, 361];-1;-1;DATA DE
[118, 120, 105, 104];[360, 283, 282, 361];-1;-1;EXPEDIÇÃO
345;342;19;323;C.NAS=352 LV=141 FL=393
