left;top;width;height;transcription
[62, 76, 93, 81];[737, 278, 277, 738];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
103;678;20;159;47.032.406-5
[99, 99, 114, 113];[946, 861, 861, 947];-1;-1;REGISTRO
[130, 132, 117, 116];[946, 886, 890, 946];-1;-1;GERAL
[148, 151, 167, 163];[949, 894, 895, 948];-1;-1;NOME
178;373;26;562;CABETE MURILLA LANFRANCHI
[225, 228, 244, 243];[949, 869, 870, 949];-1;-1;FILIAÇÃO
255;381;26;553;COLDIBELLI GONZALES RESTU
293;439;26;498;BISI MICHIELETO ROBERSON
[341, 346, 361, 357];[952, 816, 815, 949];-1;-1;NATURALIDADE
[420, 421, 438, 435];[951, 837, 837, 951];-1;-1;DOC ORIGEM
[498, 500, 516, 514];[949, 917, 918, 951];-1;-1;CPF
558;863;19;75;NH 76
481;691;20;200;232.154.586-08
435;785;26;155;APORÁ-BA
358;602;29;333;RECURSOLÂNDIA-TO
[610, 618, 636, 629];[628, 392, 393, 632];-1;-1;LEI Nº7 116 DE 29/08/83
560;348;14;322;MENON NAKAGOME CARBONARA
[594, 603, 586, 580];[630, 413, 414, 628];-1;-1;ASSINATURA DO DIRETOR
579;179;18;57;7 VIA
380;191;20;140;16/01/2010
[360, 366, 381, 375];[322, 126, 128, 322];-1;-1;DATA DE NASCIMENTO
403;412;24;401;C.NAS=39 LV=113 FL=226
[113, 110, 125, 128];[382, 456, 456, 384];-1;-1;DATA DE
[143, 147, 128, 125];[456, 360, 360, 456];-1;-1;EXPEDIÇÃO
115;195;20;140;18/11/2007
