left;top;width;height;transcription
[616, 602, 585, 597];[309, 768, 769, 308];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
555;210;20;158;24.785.863-8
[579, 579, 564, 565];[100, 185, 185, 99];-1;-1;REGISTRO
[548, 546, 561, 562];[100, 160, 156, 100];-1;-1;GERAL
[530, 527, 511, 515];[97, 152, 151, 98];-1;-1;NOME
474;112;26;521;UEZU ESPLUGUES GAILLARD
[453, 450, 434, 435];[97, 177, 176, 97];-1;-1;FILIAÇÃO
397;112;26;522;GARDIOLO JULYANE FIORESI
359;108;26;550;ANCELEVICZ WISNIEVSKI BOMB
[337, 332, 317, 321];[94, 230, 231, 97];-1;-1;NATURALIDADE
[258, 257, 240, 243];[95, 209, 209, 95];-1;-1;DOC ORIGEM
[180, 178, 162, 164];[97, 129, 128, 95];-1;-1;CPF
101;108;19;72;NH 71
177;155;20;200;291.940.404-00
217;106;26;218;ARAGUANÃ-TO
291;111;29;219;MORPARÁ-BA
[68, 60, 42, 49];[418, 654, 653, 414];-1;-1;LEI Nº7 116 DE 29/08/83
104;375;14;264;ZACARI ADELSON MACUCO
[84, 75, 92, 98];[416, 633, 632, 418];-1;-1;ASSINATURA DO DIRETOR
81;808;18;59;8 VIA
278;714;20;138;25/03/1951
[318, 312, 297, 303];[724, 920, 918, 724];-1;-1;DATA DE NASCIMENTO
251;233;25;419;C.NAS=325 LV=195 FL=303
[565, 568, 553, 550];[664, 590, 590, 662];-1;-1;DATA DE
[535, 531, 550, 553];[590, 686, 686, 590];-1;-1;EXPEDIÇÃO
543;711;20;140;17/01/1980
