left;top;width;height;transcription
[178, 460, 460, 176];[53, 56, 71, 68];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
114;85;93;17;92.287.189-9
[62, 112, 113, 61];[86, 85, 96, 95];-1;-1;REGISTRO
[62, 96, 96, 61];[106, 107, 97, 97];-1;-1;GERAL
[61, 94, 92, 61];[127, 128, 120, 118];-1;-1;NOME
54;130;228;17;BOQUIMPANI LAGOIN LIONEL
[60, 110, 108, 61];[178, 180, 168, 168];-1;-1;FILIAÇÃO
55;186;213;11;MIGNOZZETTI AURO RUZENE
55;211;145;11;MORIM ALFIM PIERI
[62, 144, 143, 61];[243, 244, 254, 252];-1;-1;NATURALIDADE
56;258;83;12;SERRA-ES
131;274;206;17;C.NAS=424 LV=164 FL=247
[61, 131, 131, 61];[293, 295, 306, 304];-1;-1;DOC ORIGEM
55;306;67;12;JUCÁS-CE
85;336;88;9;737.437.779-75
[61, 82, 81, 60];[345, 346, 356, 356];-1;-1;CPF
53;382;44;12;NH 12
195;369;162;15;KAORU JULLIANA DUENAS
[244, 377, 377, 244];[398, 399, 390, 388];-1;-1;ASSINATURA DO DIRETOR
[242, 388, 388, 242];[420, 422, 409, 408];-1;-1;LEI Nº7 116 DE 29/08/83
478;386;35;11;8 VIA
421;260;68;11;30/08/1951
[442, 563, 562, 442];[246, 247, 257, 256];-1;-1;DATA DE NASCIMENTO
419;82;78;17;20/10/1968
[360, 401, 402, 360];[87, 88, 97, 98];-1;-1;DATA DE
[360, 420, 418, 359];[110, 108, 99, 99];-1;-1;EXPEDIÇÃO
