left;top;width;height;transcription
[234, 631, 631, 232];[21, 29, 50, 43];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
152;70;123;16;14.230.322-7
[64, 140, 140, 63];[64, 66, 79, 78];-1;-1;REGISTRO
[64, 115, 115, 64];[94, 95, 82, 82];-1;-1;GERAL
[63, 113, 111, 63];[113, 113, 127, 126];-1;-1;NOME
63;135;375;18;LEVY IMACULADA SCHOWANTZ
[63, 133, 133, 63];[183, 184, 201, 198];-1;-1;FILIAÇÃO
59;204;293;18;BITAR JIMMY NEGRETTI
56;246;246;17;VELEZ PUIG JIQUIRICA
[59, 183, 182, 59];[290, 292, 307, 304];-1;-1;NATURALIDADE
57;314;179;19;VERDELÂNDIA-MG
[60, 162, 162, 59];[364, 365, 379, 378];-1;-1;DOC ORIGEM
168;355;255;15;C.NAS=477 LV=300 FL=278
51;391;129;15;CANDEAL-BA
96;428;133;18;486.157.491-91
[53, 86, 82, 50];[438, 439, 452, 451];-1;-1;CPF
42;501;53;14;NH 32
[324, 535, 534, 324];[526, 527, 542, 544];-1;-1;LEI Nº7 116 DE 29/08/83
290;480;127;8;YURIKO LEVANTEZI WIL
[328, 518, 518, 325];[499, 499, 511, 512];-1;-1;ASSINATURA DO DIRETOR
579;321;89;14;07/09/1955
[611, 776, 775, 610];[295, 296, 309, 308];-1;-1;DATA DE NASCIMENTO
581;76;95;15;27/12/1964
[495, 575, 575, 495];[89, 89, 104, 104];-1;-1;EXPEDIÇÃO
[495, 552, 552, 495];[74, 74, 86, 87];-1;-1;DATA DE
666;498;46;14;2 VIA
