left;top;width;height;transcription
[607, 240, 241, 609];[523, 516, 497, 504];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
552;474;123;15;30.975.951-1
[760, 694, 694, 761];[488, 488, 476, 476];-1;-1;REGISTRO
[761, 715, 716, 760];[462, 461, 473, 474];-1;-1;GERAL
[761, 718, 719, 762];[444, 444, 431, 432];-1;-1;NOME
341;406;413;18;GOLDSCHMIDT FEDATTO FUENTE
[762, 701, 701, 764];[379, 379, 364, 364];-1;-1;FILIAÇÃO
389;340;366;18;SANT'ANA MORITZ FUKABORI
439;308;316;18;SCHIFFER ARRIGONI ATOL
[764, 657, 658, 764];[280, 279, 267, 268];-1;-1;NATURALIDADE
593;245;164;15;PORTO BELO-SC
363;206;295;20;C.NAS=323 LV=117 FL=486
[765, 674, 674, 765];[214, 214, 202, 201];-1;-1;DOC ORIGEM
559;180;198;16;MATOZINHOS-MG
568;146;149;15;504.526.707-80
[765, 739, 740, 765];[146, 145, 132, 133];-1;-1;CPF
698;82;60;16;NH 20
[524, 353, 353, 526];[81, 77, 65, 68];-1;-1;ASSINATURA DO DIRETOR
[527, 336, 337, 527];[53, 51, 35, 38];-1;-1;LEI Nº7 116 DE 29/08/83
147;76;53;16;5 VIA
144;235;134;19;06/08/1952
111;259;154;14;DATA DE NASCIMENTO
142;465;132;19;11/02/1975
315;470;58;14;DATA DE
295;454;78;15;EXPEDIÇÃO
