left;top;width;height;transcription
[774, 312, 312, 777];[644, 638, 616, 624];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
734;589;138;20;46.137.969-7
[962, 877, 878, 962];[596, 595, 582, 583];-1;-1;REGISTRO
[963, 905, 906, 963];[565, 564, 578, 579];-1;-1;GERAL
[963, 909, 910, 964];[544, 544, 530, 530];-1;-1;NOME
537;513;434;18;TSALDARIS MASCHIETTO ODENILDO
[964, 885, 886, 969];[470, 469, 452, 452];-1;-1;FILIAÇÃO
625;433;347;18;TERRERI ARGEMIRO HERON
582;396;390;18;KANTOVITZ BOTTEON DELICATO
[965, 830, 831, 965];[351, 349, 334, 336];-1;-1;NATURALIDADE
688;317;284;19;COQUEIROS DO SUL-RS
[965, 851, 851, 965];[273, 272, 257, 258];-1;-1;DOC ORIGEM
773;240;197;21;CEARÁ-MIRIM-RN
551;277;295;16;C.NAS=470 LV=129 FL=226
[336, 145, 145, 335];[342, 339, 325, 327];-1;-1;DATA DE NASCIMENTO
260;313;104;16;12/04/2018
250;581;114;21;25/02/1996
[470, 399, 399, 470];[591, 589, 576, 577];-1;-1;DATA DE
[470, 373, 374, 472];[559, 557, 574, 576];-1;-1;EXPEDIÇÃO
915;125;58;20;NH 05
[669, 430, 430, 671];[95, 92, 71, 75];-1;-1;LEI Nº7 116 DE 29/08/83
428;132;321;15;HIDAKA MENDERICO ADHIKARI
[668, 450, 450, 667];[110, 106, 123, 127];-1;-1;ASSINATURA DO DIRETOR
216;117;51;15;9 VIA
[966, 931, 930, 966];[178, 176, 193, 194];-1;-1;CPF
