left;top;width;height;transcription
[296, 762, 762, 298];[65, 72, 50, 43];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
198;82;139;19;44.161.618-5
[103, 190, 189, 105];[93, 93, 77, 77];-1;-1;REGISTRO
[103, 159, 157, 103];[112, 112, 97, 97];-1;-1;GERAL
[106, 160, 160, 106];[147, 151, 134, 134];-1;-1;NOME
[99, 181, 180, 98];[228, 229, 210, 210];-1;-1;FILIAÇÃO
96;240;396;20;STOLLAR CLELTON BLASCO
100;280;438;20;BERGAME REVIGLIO WILBONH
[98, 238, 236, 97];[333, 335, 319, 318];-1;-1;NATURALIDADE
93;354;252;18;MAJOR GERCINO-SC
[94, 213, 213, 94];[415, 416, 401, 399];-1;-1;DOC ORIGEM
[93, 131, 129, 93];[514, 515, 497, 497];-1;-1;CPF
87;550;60;16;NH 63
147;477;159;17;187.936.033-04
91;429;249;23;CÂNDIDO SALES-BA
222;397;346;21;C.NAS=226 LV=400 FL=14
749;362;97;20;15/04/1975
[707, 901, 901, 706];[343, 347, 331, 328];-1;-1;DATA DE NASCIMENTO
706;93;114;17;24/12/1995
[598, 670, 669, 594];[104, 105, 89, 89];-1;-1;DATA DE
[597, 696, 696, 595];[120, 123, 105, 104];-1;-1;EXPEDIÇÃO
101;160;579;22;KESROUANI GEZIMAR PRELORENTZOU
[393, 627, 627, 391];[613, 617, 598, 595];-1;-1;LEI Nº7 116 DE 29/08/83
309;549;277;15;RUDGE CANTELE ROSELINO
818;565;52;16;3 VIA
[391, 625, 624, 391];[586, 589, 574, 571];-1;-1;ASSINATURA DO DIRETOR
