left;top;width;height;transcription
[527, 531, 512, 508];[225, 598, 599, 225];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
466;154;16;126;49.810.159-9
[476, 477, 464, 463];[71, 136, 137, 70];-1;-1;REGISTRO
[449, 449, 462, 460];[71, 116, 115, 70];-1;-1;GERAL
[431, 432, 419, 419];[70, 113, 113, 70];-1;-1;NOME
400;75;21;309;MALACO ASAMURA TERAS
[366, 366, 349, 349];[71, 136, 135, 71];-1;-1;FILIAÇÃO
299;77;16;305;WELLISSON LESSIO KONNO
[264, 265, 253, 253];[73, 181, 180, 71];-1;-1;NATURALIDADE
229;80;20;85;AÇU-RN
201;179;16;281;C.NAS=259 LV=426 FL=165
[197, 197, 186, 184];[74, 165, 165, 73];-1;-1;DOC ORIGEM
166;81;15;133;PACAJUS-CE
131;120;16;138;043.675.109-72
[128, 128, 115, 115];[75, 101, 100, 74];-1;-1;CPF
95;254;11;230;MAHANA ANDREANI RONCHINI
[72, 75, 87, 84];[320, 497, 496, 318];-1;-1;ASSINATURA DO DIRETOR
[58, 61, 46, 44];[319, 512, 512, 320];-1;-1;LEI Nº7 116 DE 29/08/83
66;81;15;58;NH 02
237;559;15;95;14/04/2001
[271, 272, 260, 258];[578, 735, 735, 578];-1;-1;DATA DE NASCIMENTO
471;554;15;106;20/12/1973
[480, 481, 468, 467];[463, 520, 520, 464];-1;-1;DATA DE
[452, 453, 469, 466];[465, 542, 542, 464];-1;-1;EXPEDIÇÃO
71;639;14;44;9 VIA
