left;top;width;height;transcription
[35, 24, 48, 61];[768, 302, 299, 768];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
75;653;22;174;19.907.333-8
[96, 95, 109, 110];[955, 871, 871, 955];-1;-1;REGISTRO
[129, 129, 115, 115];[955, 896, 896, 955];-1;-1;GERAL
[165, 165, 149, 151];[954, 899, 901, 955];-1;-1;NOME
150;269;29;656;RAZABONE KOBOYASHI IAMNHUK
236;491;27;433;FOZ BASSOLI CAMILLA
277;392;27;534;ASSAL PENEIRAS MASAHIDE
375;826;20;95;IPU-CE
406;436;23;359;C.NAS=68 LV=25 FL=17
446;713;28;207;EIRUNEPÉ-AM
492;653;23;212;175.613.505-38
580;838;20;77;NH 85
[528, 527, 543, 545];[944, 910, 910, 945];-1;-1;CPF
[443, 440, 456, 459];[946, 831, 831, 947];-1;-1;DOC ORIGEM
[358, 356, 371, 375];[948, 813, 813, 950];-1;-1;NATURALIDADE
554;341;18;377;PHILIPPE ANGRISANI BRACCIAL
[600, 595, 579, 585];[639, 417, 420, 639];-1;-1;ASSINATURA DO DIRETOR
[638, 630, 611, 616];[639, 401, 401, 640];-1;-1;LEI Nº7 116 DE 29/08/83
565;151;19;67;9 VIA
358;180;20;141;19/05/1986
[341, 337, 353, 359];[317, 120, 120, 316];-1;-1;DATA DE NASCIMENTO
64;178;22;150;06/06/1996
[98, 97, 81, 83];[460, 392, 392, 461];-1;-1;DATA DE
[118, 116, 97, 98];[460, 362, 364, 461];-1;-1;EXPEDIÇÃO
[231, 230, 250, 251];[953, 873, 873, 954];-1;-1;FILIAÇÃO
