left;top;width;height;transcription
[611, 586, 592, 614];[281, 282, 756, 752];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
551;213;16;136;48.415.358-4
[561, 561, 545, 545];[91, 176, 176, 92];-1;-1;REGISTRO
[527, 528, 544, 544];[91, 152, 149, 91];-1;-1;GERAL
[508, 507, 494, 493];[94, 146, 146, 93];-1;-1;NOME
471;117;19;369;DARIO KOTANI MONTAGNA
[430, 432, 415, 415];[96, 174, 173, 93];-1;-1;FILIAÇÃO
391;117;18;383;MILOS TORRALVO FRANCISCHI
353;119;19;304;ITEN PEDRINI MONIWA
273;122;22;269;TRÊS CACHOEIRAS-RS
[313, 314, 299, 300];[97, 232, 232, 97];-1;-1;NATURALIDADE
[303, 304, 321, 319];[733, 929, 928, 732];-1;-1;DATA DE NASCIMENTO
279;727;16;106;08/06/1987
237;248;16;279;C.NAS=424 LV=247 FL=91
197;126;16;150;TUPIRAMA-TO
[219, 221, 235, 234];[101, 215, 215, 101];-1;-1;DOC ORIGEM
157;177;16;161;853.190.850-79
[155, 155, 141, 140];[102, 136, 136, 103];-1;-1;CPF
79;127;16;61;NH 06
[41, 43, 61, 60];[412, 651, 650, 411];-1;-1;LEI Nº7 116 DE 29/08/83
101;330;13;209;PARAVANI TAYRA BETTOI
[76, 78, 91, 90];[412, 633, 632, 411];-1;-1;ASSINATURA DO DIRETOR
85;833;15;51;5 VIA
557;718;16;106;03/01/2000
[531, 531, 549, 546];[588, 683, 683, 587];-1;-1;EXPEDIÇÃO
[565, 564, 549, 550];[656, 586, 588, 655];-1;-1;DATA DE
