left;top;width;height;transcription
[524, 522, 507, 509];[514, 321, 322, 515];-1;-1;LEI Nº7 116 DE 29/08/83
[494, 493, 481, 483];[516, 339, 339, 516];-1;-1;ASSINATURA DO DIRETOR
461;291;17;287;KOLIKAUSKAS UYHARA PANONTINI
478;150;15;49;9 VIA
485;696;16;64;NH 63
[441, 440, 427, 429];[760, 733, 734, 760];-1;-1;CPF
418;582;16;136;163.120.703-28
381;559;19;199;SÃO FRANCISCO-PB
[374, 371, 358, 359];[759, 667, 668, 761];-1;-1;DOC ORIGEM
348;381;16;279;C.NAS=183 LV=55 FL=311
314;540;19;220;TELÊMACO BORBA-PR
[307, 305, 293, 294];[763, 652, 652, 762];-1;-1;NATURALIDADE
252;527;15;234;SHONO HARUO FROTA
[302, 300, 287, 290];[263, 110, 110, 262];-1;-1;DATA DE NASCIMENTO
313;185;15;94;14/01/2001
218;434;20;332;ZUCCOLOTTO DARAHEM NONINO
[208, 208, 192, 193];[763, 698, 699, 762];-1;-1;FILIAÇÃO
150;423;16;342;MAGNO FRANCISLAINE SERIO
[141, 141, 127, 129];[763, 718, 719, 764];-1;-1;NOME
[112, 111, 98, 100];[763, 716, 717, 763];-1;-1;GERAL
[84, 83, 96, 97];[762, 696, 696, 763];-1;-1;REGISTRO
82;547;16;135;68.828.249-0
[57, 56, 41, 43];[607, 240, 241, 607];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
78;170;16;114;06/07/2005
[108, 106, 93, 93];[375, 296, 296, 374];-1;-1;EXPEDIÇÃO
[79, 80, 93, 92];[374, 315, 315, 375];-1;-1;DATA DE
