left;top;width;height;transcription
[540, 532, 511, 518];[234, 631, 631, 232];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
475;150;16;126;09.779.017-5
[497, 495, 482, 483];[64, 140, 140, 63];-1;-1;REGISTRO
[467, 466, 479, 479];[64, 115, 115, 64];-1;-1;GERAL
[448, 448, 434, 435];[63, 113, 111, 63];-1;-1;NOME
403;64;23;377;KUROGI THALLITA BORTOLETO
[378, 377, 360, 363];[63, 133, 133, 63];-1;-1;FILIAÇÃO
338;58;19;426;CESARINO DALLACQUA MASSOLA
299;56;16;347;GONELLI MOROIZUMI LINHARES
[271, 269, 254, 257];[59, 183, 182, 59];-1;-1;NATURALIDADE
228;57;15;105;POSSE-GO
[197, 196, 182, 183];[60, 162, 162, 59];-1;-1;DOC ORIGEM
191;168;15;244;C.NAS=363 LV=59 FL=118
155;51;15;107;OLINDA-PE
119;97;14;133;365.068.407-14
[123, 122, 109, 110];[53, 86, 82, 50];-1;-1;CPF
46;42;14;51;NH 41
[35, 34, 19, 17];[324, 535, 534, 324];-1;-1;LEI Nº7 116 DE 29/08/83
73;289;8;116;MAIKO EBISUI KENYA
[62, 62, 50, 49];[328, 518, 518, 325];-1;-1;ASSINATURA DO DIRETOR
226;580;14;86;16/12/2001
[266, 265, 252, 253];[611, 776, 775, 610];-1;-1;DATA DE NASCIMENTO
470;582;15;93;12/05/1951
[472, 472, 457, 457];[495, 575, 575, 495];-1;-1;EXPEDIÇÃO
[487, 487, 475, 474];[495, 552, 552, 495];-1;-1;DATA DE
49;666;14;46;6 VIA
