left;top;width;height;transcription
[527, 531, 512, 508];[225, 598, 599, 225];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
466;156;16;124;18.408.165-8
[476, 477, 464, 463];[71, 136, 137, 70];-1;-1;REGISTRO
[449, 449, 462, 460];[71, 116, 115, 70];-1;-1;GERAL
[431, 432, 419, 419];[70, 113, 113, 70];-1;-1;NOME
400;75;16;299;CARIAS MONMA RABELAT
[366, 366, 349, 349];[71, 136, 135, 71];-1;-1;FILIAÇÃO
299;78;16;307;MAGALHAE GILMARA DJAMI
[264, 265, 253, 253];[73, 181, 180, 71];-1;-1;NATURALIDADE
233;80;16;170;RUBIATABA-GO
201;179;16;266;C.NAS=33 LV=471 FL=451
[197, 197, 186, 184];[74, 165, 165, 73];-1;-1;DOC ORIGEM
166;81;15;122;CASTRO-PR
130;122;17;136;791.995.438-00
[128, 128, 115, 115];[75, 101, 100, 74];-1;-1;CPF
95;253;11;195;VASCO BASEIO OKAZUKA
[72, 75, 87, 84];[320, 497, 496, 318];-1;-1;ASSINATURA DO DIRETOR
[58, 61, 46, 44];[319, 512, 512, 320];-1;-1;LEI Nº7 116 DE 29/08/83
66;81;15;58;NH 28
232;558;20;98;21/12/2007
[271, 272, 260, 258];[578, 735, 735, 578];-1;-1;DATA DE NASCIMENTO
471;556;15;104;10/12/1965
[480, 481, 468, 467];[463, 520, 520, 464];-1;-1;DATA DE
[452, 453, 469, 466];[465, 542, 542, 464];-1;-1;EXPEDIÇÃO
71;640;14;43;6 VIA
