left;top;width;height;transcription
[211, 581, 581, 209];[57, 60, 41, 40];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
149;73;116;15;48.780.856-3
[50, 123, 123, 48];[73, 75, 87, 88];-1;-1;REGISTRO
[50, 100, 99, 49];[103, 104, 91, 91];-1;-1;GERAL
[50, 95, 94, 50];[143, 145, 129, 130];-1;-1;NOME
129;114;301;15;KARINY BUZINARO PARPOLOV
129;169;223;14;DOREY TIROLA ZANELLA
[50, 118, 117, 50];[198, 198, 183, 184];-1;-1;FILIAÇÃO
68;218;286;20;BRAGAGNOLO GISOLFI DING
128;254;78;12;OLIVEIRA
[52, 163, 163, 52];[289, 290, 275, 275];-1;-1;NATURALIDADE
51;292;160;14;LAGOA SECA-PB
[50, 148, 148, 50];[353, 354, 370, 370];-1;-1;DOC ORIGEM
[50, 79, 79, 50];[430, 431, 444, 444];-1;-1;CPF
167;345;76;21;TUPÃ-SP
167;374;303;17;CMC= VARGEM BONITA-SC ,SEDE
166;403;255;15;C.NAS=196 LV=198 FL=133
90;429;132;15;754.361.730-71
[296, 493, 493, 296];[527, 530, 514, 513];-1;-1;LEI Nº7 116 DE 29/08/83
[304, 489, 488, 303];[505, 507, 494, 494];-1;-1;ASSINATURA DO DIRETOR
386;467;174;9;JO CAVAZZINI ABRAMOVICI
[548, 712, 712, 546];[276, 278, 291, 291];-1;-1;DATA DE NASCIMENTO
501;74;98;16;24/12/1953
[416, 499, 499, 416];[106, 106, 89, 91];-1;-1;EXPEDIÇÃO
[416, 479, 478, 417];[75, 75, 89, 90];-1;-1;DATA DE
500;292;116;18;23/11/1973
