left;top;width;height;transcription
[600, 227, 227, 601];[541, 535, 514, 521];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
511;485;146;19;21.268.031-6
[760, 694, 694, 761];[483, 482, 495, 497];-1;-1;REGISTRO
[762, 716, 716, 765];[470, 469, 479, 481];-1;-1;GERAL
[762, 719, 719, 763];[440, 439, 452, 454];-1;-1;NOME
416;418;318;19;ROSOLEN TOZINI KANAN
[763, 700, 700, 764];[387, 387, 372, 374];-1;-1;FILIAÇÃO
321;353;417;19;ZAMBRA CATTASSINI PERARO
323;317;415;20;NAMIKAWA MARSON NICOLE
[765, 655, 656, 765];[266, 265, 279, 278];-1;-1;NATURALIDADE
621;248;117;16;COARI-AM
[766, 674, 674, 766];[199, 197, 211, 211];-1;-1;DOC ORIGEM
335;209;302;19;C.NAS=113 LV=4 FL=496
635;182;107;18;ARAPEÍ-SP
540;147;161;16;230.399.970-76
[767, 740, 739, 767];[131, 131, 143, 143];-1;-1;CPF
685;90;56;15;NH 01
[518, 323, 324, 517];[49, 45, 60, 63];-1;-1;LEI Nº7 116 DE 29/08/83
403;96;148;9;SUGITA MIKHAEL ZUMAS
[516, 338, 338, 516];[77, 73, 86, 89];-1;-1;ASSINATURA DO DIRETOR
125;80;48;15;1 VIA
145;240;104;15;11/01/2003
[253, 94, 94, 254];[273, 271, 257, 259];-1;-1;DATA DE NASCIMENTO
141;482;106;16;13/02/1985
[363, 308, 307, 362];[479, 478, 491, 493];-1;-1;DATA DE
[363, 284, 284, 363];[462, 461, 477, 477];-1;-1;EXPEDIÇÃO
