left;top;width;height;transcription
[740, 273, 274, 740];[635, 621, 599, 613];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
677;578;147;19;56.144.327-0
435;499;492;22;ATANAZIO CONTOCANI MENDINA
[929, 878, 879, 931];[535, 533, 519, 521];-1;-1;NOME
[856, 932, 933, 856];[457, 458, 443, 441];-1;-1;FILIAÇÃO
[846, 930, 930, 846];[586, 589, 571, 571];-1;-1;REGISTRO
[930, 871, 871, 928];[554, 553, 567, 570];-1;-1;GERAL
511;412;417;29;GORITO TRUZZI GALLEGO
585;384;338;22;BARKI SBOARIM OZIEL
[934, 801, 801, 937];[340, 337, 322, 327];-1;-1;NATURALIDADE
621;309;307;25;NAZARÉ PAULISTA-SP
412;267;395;23;C.NAS=446 LV=415 FL=43
704;231;226;20;RIO BRANCO-MT
685;192;198;20;253.184.451-10
[936, 824, 824, 938];[261, 256, 243, 246];-1;-1;DOC ORIGEM
[940, 907, 910, 941];[180, 180, 163, 165];-1;-1;CPF
866;117;72;19;NH 91
417;119;304;19;QUEILA MITIYUE CAZZERI
[642, 422, 423, 640];[98, 92, 109, 114];-1;-1;ASSINATURA DO DIRETOR
[643, 406, 405, 642];[65, 59, 77, 85];-1;-1;LEI Nº7 116 DE 29/08/83
179;99;57;18;7 VIA
206;295;124;19;30/09/1962
[305, 109, 110, 305];[325, 319, 307, 311];-1;-1;DATA DE NASCIMENTO
206;564;114;18;04/12/2011
[435, 368, 370, 437];[575, 573, 559, 562];-1;-1;DATA DE
[438, 342, 343, 435];[543, 539, 558, 559];-1;-1;EXPEDIÇÃO
