left;top;width;height;transcription
[212, 585, 585, 211];[34, 40, 61, 54];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
156;71;145;19;58.748.379-9
[52, 118, 118, 51];[92, 93, 80, 78];-1;-1;REGISTRO
[50, 96, 96, 47];[105, 106, 96, 94];-1;-1;GERAL
[50, 93, 93, 49];[135, 136, 123, 121];-1;-1;NOME
76;138;397;19;ZORZELLA FORTUNA VIACAVA
[49, 112, 112, 48];[188, 188, 203, 201];-1;-1;FILIAÇÃO
76;203;422;19;PELICIA OBREGON CROVADOR
74;238;400;20;LORETTO ERRERA BIAMINO
[47, 157, 156, 47];[309, 310, 296, 297];-1;-1;NATURALIDADE
74;307;125;20;ITAMBÉ-PR
[46, 138, 138, 46];[376, 378, 364, 364];-1;-1;DOC ORIGEM
175;347;329;19;C.NAS=257 LV=386 FL=203
71;378;111;15;GOIANA-PE
112;412;160;17;515.280.491-36
[45, 72, 73, 45];[444, 444, 432, 432];-1;-1;CPF
71;470;58;15;NH 76
[294, 489, 488, 295];[526, 530, 515, 512];-1;-1;LEI Nº7 116 DE 29/08/83
260;470;194;9;FALCIONE PIROUPO DESSIMONE
[296, 474, 474, 296];[498, 502, 489, 486];-1;-1;ASSINATURA DO DIRETOR
638;480;49;15;2 VIA
561;320;106;15;08/02/2006
[559, 718, 718, 558];[302, 304, 318, 316];-1;-1;DATA DE NASCIMENTO
565;77;105;16;13/08/1978
[449, 504, 505, 450];[96, 97, 84, 82];-1;-1;DATA DE
[449, 528, 528, 449];[113, 114, 98, 98];-1;-1;EXPEDIÇÃO
