left;top;width;height;transcription
[774, 773, 299, 303];[611, 586, 592, 614];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
706;551;135;16;00.183.907-8
[964, 879, 879, 963];[561, 561, 545, 545];-1;-1;REGISTRO
[964, 903, 906, 964];[527, 528, 544, 544];-1;-1;GERAL
[961, 909, 909, 962];[508, 507, 494, 493];-1;-1;NOME
574;467;365;23;CIMINO ROSOLEN BAYARD
[959, 881, 882, 962];[430, 432, 415, 415];-1;-1;FILIAÇÃO
558;391;381;18;ALESSANDER CLEFFE TOMIKO
499;353;438;19;GANCHO FAGARAZ ANTONIALLI
789;273;145;22;ARAPUÁ-MG
[958, 823, 823, 958];[313, 314, 299, 300];-1;-1;NATURALIDADE
[322, 126, 127, 323];[303, 304, 321, 319];-1;-1;DATA DE NASCIMENTO
224;279;102;16;19/05/1991
538;237;269;16;C.NAS=424 LV=265 FL=5
768;197;162;16;MALHADOR-SE
[954, 840, 840, 954];[219, 221, 235, 234];-1;-1;DOC ORIGEM
718;156;160;17;620.982.760-87
[953, 919, 919, 952];[155, 155, 141, 140];-1;-1;CPF
868;79;60;16;NH 97
[643, 404, 405, 644];[41, 43, 61, 60];-1;-1;LEI Nº7 116 DE 29/08/83
518;102;207;17;KULESZA AKEL LACOMBE
[643, 422, 423, 644];[76, 78, 91, 90];-1;-1;ASSINATURA DO DIRETOR
171;85;51;15;8 VIA
231;557;106;16;07/06/1980
[467, 372, 372, 468];[531, 531, 549, 546];-1;-1;EXPEDIÇÃO
[399, 469, 467, 400];[565, 564, 549, 550];-1;-1;DATA DE
