left;top;width;height;transcription
[258, 730, 729, 255];[73, 70, 48, 55];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
171;88;134;16;52.323.194-5
[63, 150, 150, 61];[113, 112, 100, 99];-1;-1;REGISTRO
[63, 122, 121, 64];[131, 132, 116, 116];-1;-1;GERAL
[64, 118, 117, 64];[164, 164, 149, 151];-1;-1;NOME
[66, 145, 144, 63];[243, 242, 224, 227];-1;-1;FILIAÇÃO
67;237;323;19;JANA SORGINI FAILACHE
68;276;367;19;GIULIANI GATOS STANZIONE
[68, 204, 203, 65];[358, 358, 341, 343];-1;-1;NATURALIDADE
72;357;289;16;BIAGGIONI TABARY DYODI
198;393;309;19;C.NAS=59 LV=117 FL=494
[67, 183, 182, 66];[436, 437, 422, 423];-1;-1;DOC ORIGEM
70;432;237;18;NACIP RAYDAN-MG
[67, 102, 102, 67];[501, 501, 518, 516];-1;-1;CPF
331;546;215;11;MATTIAZZI YORIKO BARABASZ
72;551;65;18;NH 16
[375, 601, 600, 374];[568, 567, 582, 585];-1;-1;ASSINATURA DO DIRETOR
[376, 621, 621, 375];[618, 615, 598, 599];-1;-1;LEI Nº7 116 DE 29/08/83
682;353;105;16;30/07/1978
[909, 708, 708, 909];[336, 338, 354, 352];-1;-1;DATA DE NASCIMENTO
681;84;107;16;05/04/1956
[567, 636, 636, 568];[94, 93, 110, 110];-1;-1;DATA DE
[567, 668, 667, 566];[127, 127, 111, 111];-1;-1;EXPEDIÇÃO
792;548;53;16;1 VIA
70;160;428;20;MELLEIRO ALTEVIR SOBREIRO
