left;top;width;height;transcription
[37, 33, 52, 55];[616, 252, 252, 617];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
82;583;14;104;54.418.427-0
[93, 93, 104, 105];[770, 725, 725, 771];-1;-1;GERAL
[78, 77, 90, 90];[770, 703, 704, 770];-1;-1;REGISTRO
[122, 121, 134, 134];[770, 728, 728, 770];-1;-1;NOME
144;448;16;319;KOIVISTO BARRETO MALVAO
[186, 186, 200, 200];[769, 708, 708, 769];-1;-1;FILIAÇÃO
213;456;14;306;SHYGEI BOLFARINE LISAUSKAS
244;502;18;262;LARICA NUBIA JOSIEL
[286, 284, 296, 297];[770, 663, 662, 770];-1;-1;NATURALIDADE
316;557;15;209;PORTO FERREIRA-SP
[351, 350, 362, 363];[768, 678, 678, 768];-1;-1;DOC ORIGEM
346;435;20;233;C.NAS=17 LV=445 FL=87
385;671;12;94;IBIMIRIM-PE
[418, 418, 430, 431];[766, 742, 742, 767];-1;-1;CPF
410;588;20;139;437.205.174-38
482;716;14;49;NH 48
[500, 498, 513, 516];[524, 336, 335, 524];-1;-1;LEI Nº7 116 DE 29/08/83
450;388;16;199;CIACCO LEZIO BONGERS
[486, 484, 472, 474];[523, 351, 352, 522];-1;-1;ASSINATURA DO DIRETOR
474;163;14;46;5 VIA
308;189;15;97;15/04/1977
[280, 279, 290, 292];[273, 123, 123, 273];-1;-1;DATA DE NASCIMENTO
79;190;14;96;05/04/2013
[72, 71, 85, 84];[384, 326, 327, 385];-1;-1;DATA DE
[100, 99, 84, 85];[384, 307, 308, 385];-1;-1;EXPEDIÇÃO
