left;top;width;height;transcription
[632, 235, 235, 634];[540, 532, 511, 518];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
591;475;123;16;14.230.322-7
[802, 726, 726, 803];[497, 495, 482, 483];-1;-1;REGISTRO
[802, 751, 751, 802];[467, 466, 479, 479];-1;-1;GERAL
[803, 753, 755, 803];[448, 448, 434, 435];-1;-1;NOME
428;408;375;18;LEVY IMACULADA SCHOWANTZ
[803, 733, 733, 803];[378, 377, 360, 363];-1;-1;FILIAÇÃO
514;339;293;18;BITAR JIMMY NEGRETTI
564;298;246;17;VELEZ PUIG JIQUIRICA
[807, 683, 684, 807];[271, 269, 254, 257];-1;-1;NATURALIDADE
630;228;179;19;VERDELÂNDIA-MG
[806, 704, 704, 807];[197, 196, 182, 183];-1;-1;DOC ORIGEM
443;191;255;15;C.NAS=477 LV=300 FL=278
686;155;129;15;CANDEAL-BA
637;115;133;18;486.157.491-91
[813, 780, 784, 816];[123, 122, 109, 110];-1;-1;CPF
771;46;53;14;NH 32
[542, 331, 332, 542];[35, 34, 19, 17];-1;-1;LEI Nº7 116 DE 29/08/83
449;73;127;8;YURIKO LEVANTEZI WIL
[538, 348, 348, 541];[62, 62, 50, 49];-1;-1;ASSINATURA DO DIRETOR
198;226;89;14;07/09/1955
[255, 90, 91, 256];[266, 265, 252, 253];-1;-1;DATA DE NASCIMENTO
190;470;95;15;27/12/1964
[371, 291, 291, 371];[472, 472, 457, 457];-1;-1;EXPEDIÇÃO
[371, 314, 314, 371];[487, 487, 475, 474];-1;-1;DATA DE
154;49;46;14;2 VIA
