left;top;width;height;transcription
[740, 273, 274, 740];[635, 621, 599, 613];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
677;578;147;19;96.148.223-0
532;499;394;22;RICE GORDILHO VOEROES
[929, 878, 879, 931];[535, 533, 519, 521];-1;-1;NOME
[856, 932, 933, 856];[457, 458, 443, 441];-1;-1;FILIAÇÃO
[846, 930, 930, 846];[586, 589, 571, 571];-1;-1;REGISTRO
[930, 871, 871, 928];[554, 553, 567, 570];-1;-1;GERAL
429;418;498;23;BERTOLDO KIEFER RETTONDIN
531;384;393;22;CHIROSI COLABONE CALV
[934, 801, 801, 937];[340, 337, 322, 327];-1;-1;NATURALIDADE
717;309;212;20;GRANJEIRO-CE
394;267;413;23;C.NAS=205 LV=483 FL=429
759;231;172;20;ALAGOA-MG
685;192;198;20;391.347.399-80
[936, 824, 824, 938];[261, 256, 243, 246];-1;-1;DOC ORIGEM
[940, 907, 910, 941];[180, 180, 163, 165];-1;-1;CPF
863;117;75;19;NH 68
423;120;298;18;GANDARA MISSIAS MEIRI
[642, 422, 423, 640];[98, 92, 109, 114];-1;-1;ASSINATURA DO DIRETOR
[643, 406, 405, 642];[65, 59, 77, 85];-1;-1;LEI Nº7 116 DE 29/08/83
179;99;60;18;4 VIA
206;295;124;19;09/05/2003
[305, 109, 110, 305];[325, 319, 307, 311];-1;-1;DATA DE NASCIMENTO
204;564;116;18;04/03/2009
[435, 368, 370, 437];[575, 573, 559, 562];-1;-1;DATA DE
[438, 342, 343, 435];[543, 539, 558, 559];-1;-1;EXPEDIÇÃO
