left;top;width;height;transcription
[57, 60, 41, 40];[596, 226, 226, 598];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
73;542;15;116;04.176.656-8
[73, 75, 87, 88];[757, 684, 684, 759];-1;-1;REGISTRO
[103, 104, 91, 91];[757, 707, 708, 758];-1;-1;GERAL
[143, 145, 129, 130];[757, 712, 713, 757];-1;-1;NOME
114;425;20;252;TIFFANY KARIN RANVAUD
169;437;14;241;RIBALDO MECCHI TIVERON
[198, 198, 183, 184];[757, 689, 690, 757];-1;-1;FILIAÇÃO
218;520;20;219;KOGAN SHINDO TESIN
254;568;16;111;NASCIMENTO
[289, 290, 275, 275];[755, 644, 644, 755];-1;-1;NATURALIDADE
290;494;17;262;SENADOR JOSÉ BENTO-MG
[353, 354, 370, 370];[757, 659, 659, 757];-1;-1;DOC ORIGEM
[430, 431, 444, 444];[757, 728, 728, 757];-1;-1;CPF
345;481;17;161;JOÃO PESSOA-PB
375;397;15;243;CMC= PERI MIRIM-MA ,SEDE
403;385;15;256;C.NAS=398 LV=267 FL=195
429;583;14;135;421.855.932-50
[527, 530, 514, 513];[511, 314, 314, 511];-1;-1;LEI Nº7 116 DE 29/08/83
[505, 507, 494, 494];[503, 318, 319, 504];-1;-1;ASSINATURA DO DIRETOR
466;227;11;195;RHUANN PRYSCILLA KAWACHI
[276, 278, 291, 291];[259, 95, 95, 261];-1;-1;DATA DE NASCIMENTO
74;208;20;96;10/01/2004
[106, 106, 89, 91];[391, 308, 308, 391];-1;-1;EXPEDIÇÃO
[75, 75, 89, 90];[391, 328, 329, 390];-1;-1;DATA DE
292;191;18;114;17/04/2002
