left;top;width;height;transcription
[611, 586, 592, 614];[281, 282, 756, 752];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
550;214;17;135;39.842.390-8
[561, 561, 545, 545];[91, 176, 176, 92];-1;-1;REGISTRO
[527, 528, 544, 544];[91, 152, 149, 91];-1;-1;GERAL
[508, 507, 494, 493];[94, 146, 146, 93];-1;-1;NOME
471;116;19;397;ARISTIDES LATORRE SHUHEI
[430, 432, 415, 415];[96, 174, 173, 93];-1;-1;FILIAÇÃO
391;117;18;300;RENO SPURIO NOCCIOLI
353;118;19;415;VOLKMER AIALLA CHERNIZON
273;121;23;174;MARACAJÁ-SC
[313, 314, 299, 300];[97, 232, 232, 97];-1;-1;NATURALIDADE
[303, 304, 321, 319];[733, 929, 928, 732];-1;-1;DATA DE NASCIMENTO
279;727;16;106;03/11/1998
237;248;16;295;C.NAS=445 LV=424 FL=275
197;126;16;129;TIJUCAS-SC
[219, 221, 235, 234];[101, 215, 215, 101];-1;-1;DOC ORIGEM
156;178;17;157;344.945.368-81
[155, 155, 141, 140];[102, 136, 136, 103];-1;-1;CPF
79;127;16;60;NH 29
[41, 43, 61, 60];[412, 651, 650, 411];-1;-1;LEI Nº7 116 DE 29/08/83
102;330;17;171;NATANIA EL BACHES
[76, 78, 91, 90];[412, 633, 632, 411];-1;-1;ASSINATURA DO DIRETOR
85;833;15;51;2 VIA
557;718;16;106;27/06/2013
[531, 531, 549, 546];[588, 683, 683, 587];-1;-1;EXPEDIÇÃO
[565, 564, 549, 550];[656, 586, 588, 655];-1;-1;DATA DE
