left;top;width;height;transcription
[524, 522, 507, 509];[514, 321, 322, 515];-1;-1;LEI Nº7 116 DE 29/08/83
[494, 493, 481, 483];[516, 339, 339, 516];-1;-1;ASSINATURA DO DIRETOR
461;338;13;241;ODZIOBA POTOMATI CANHETE
478;150;15;49;9 VIA
485;696;16;64;NH 36
[441, 440, 427, 429];[760, 733, 734, 760];-1;-1;CPF
418;582;15;138;526.438.632-32
382;620;18;138;NILÓPOLIS-RJ
[374, 371, 358, 359];[759, 667, 668, 761];-1;-1;DOC ORIGEM
348;365;16;295;C.NAS=346 LV=381 FL=180
314;646;19;115;ARAPUÃ-PR
[307, 305, 293, 294];[763, 652, 652, 762];-1;-1;NATURALIDADE
252;504;15;257;GROF TOMEI FERRAZOLI
[302, 300, 287, 290];[263, 110, 110, 262];-1;-1;DATA DE NASCIMENTO
313;185;21;96;09/07/1991
218;473;15;289;PACCA LEOCADIA MIYABARA
[208, 208, 192, 193];[763, 698, 699, 762];-1;-1;FILIAÇÃO
150;438;16;327;VAISBICH BONFITTO BELLINI
[141, 141, 127, 129];[763, 718, 719, 764];-1;-1;NOME
[112, 111, 98, 100];[763, 716, 717, 763];-1;-1;GERAL
[84, 83, 96, 97];[762, 696, 696, 763];-1;-1;REGISTRO
82;547;16;133;17.209.573-6
[57, 56, 41, 43];[607, 240, 241, 607];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
78;170;16;112;13/04/2008
[108, 106, 93, 93];[375, 296, 296, 374];-1;-1;EXPEDIÇÃO
[79, 80, 93, 92];[374, 315, 315, 375];-1;-1;DATA DE
