left;top;width;height;transcription
[229, 595, 595, 228];[77, 82, 66, 62];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
144;93;116;16;23.892.719-2
[80, 146, 145, 80];[94, 95, 107, 107];-1;-1;REGISTRO
[80, 126, 125, 80];[122, 122, 111, 109];-1;-1;GERAL
[79, 120, 121, 79];[139, 139, 151, 151];-1;-1;NOME
62;160;305;15;RAFUL PASSAMANIK WESCLEY
[78, 142, 141, 77];[203, 204, 219, 218];-1;-1;FILIAÇÃO
61;225;244;15;DODO KOGAN RIVALDO
60;258;287;15;ZUCCARELLI DIOSEF GUENDI
77;304;108;14;NATURALIDADE
77;370;92;14;DOC ORIGEM
102;421;135;16;729.924.794-11
[76, 101, 102, 74];[452, 451, 438, 440];-1;-1;CPF
61;487;57;15;NH 77
[313, 503, 503, 313];[543, 546, 527, 526];-1;-1;LEI Nº7 116 DE 29/08/83
250;482;172;11;VIUDES KIKUMI FUJINO
[315, 487, 487, 315];[512, 514, 502, 501];-1;-1;ASSINATURA DO DIRETOR
621;489;49;15;2 VIA
61;390;135;15;BALBINOS-SP
[576, 726, 727, 574];[309, 310, 323, 321];-1;-1;DATA DE NASCIMENTO
62;323;141;15;ZACARIAS-SP
545;98;81;12;29/08/1963
[467, 525, 524, 467];[98, 99, 111, 110];-1;-1;DATA DE
[466, 547, 546, 466];[125, 125, 113, 111];-1;-1;EXPEDIÇÃO
542;326;124;18;23/01/2009
157;356;359;20;C.NAS=291 LV=118 FL=331
