left;top;width;height;transcription
[503, 498, 514, 518];[229, 595, 595, 228];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
472;144;15;116;25.291.007-2
[486, 485, 473, 473];[80, 146, 145, 80];-1;-1;REGISTRO
[458, 458, 469, 471];[80, 126, 125, 80];-1;-1;GERAL
[441, 441, 429, 429];[79, 120, 121, 79];-1;-1;NOME
405;62;15;244;BOU BROCARDO PIANTA
[377, 376, 361, 362];[78, 142, 141, 77];-1;-1;FILIAÇÃO
340;61;15;299;CESARINO CARAMEZ KAREN
302;61;20;239;NEIF RESZKA FRARACIO
262;77;14;108;NATURALIDADE
196;77;14;92;DOC ORIGEM
143;101;16;136;938.462.173-01
[128, 129, 142, 140];[76, 101, 102, 74];-1;-1;CPF
78;61;15;58;NH 33
[37, 34, 53, 54];[313, 503, 503, 313];-1;-1;LEI Nº7 116 DE 29/08/83
87;250;11;184;GASQUES COLO SUGITA
[68, 66, 78, 79];[315, 487, 487, 315];-1;-1;ASSINATURA DO DIRETOR
76;622;15;48;7 VIA
175;61;15;114;ITATIAIA-RJ
[271, 270, 257, 259];[576, 726, 727, 574];-1;-1;DATA DE NASCIMENTO
242;61;15;80;JATI-CE
470;546;12;80;31/03/2015
[482, 481, 469, 470];[467, 525, 524, 467];-1;-1;DATA DE
[455, 455, 467, 469];[466, 547, 546, 466];-1;-1;EXPEDIÇÃO
236;542;18;121;04/06/1961
204;157;20;362;C.NAS=379 LV=253 FL=198
