left;top;width;height;transcription
[675, 670, 644, 650];[282, 728, 728, 279];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
602;203;22;176;65.071.299-7
[622, 621, 607, 608];[109, 189, 187, 108];-1;-1;REGISTRO
[589, 589, 603, 604];[108, 161, 159, 108];-1;-1;GERAL
[564, 563, 548, 549];[109, 158, 158, 107];-1;-1;NOME
514;105;23;467;MODENA MESSINEO HONORA
[480, 479, 461, 463];[106, 182, 181, 106];-1;-1;FILIAÇÃO
425;104;28;438;CEBIM EBER CANELLA
383;102;27;529;BEZNOS SAGLIETTI AMODIO
[353, 350, 335, 337];[103, 232, 230, 103];-1;-1;NATURALIDADE
303;102;26;208;ÁGUA BOA-MT
[267, 264, 250, 251];[102, 213, 212, 101];-1;-1;DOC ORIGEM
213;100;24;363;NOVA ANDRADINA-MS
[179, 178, 163, 163];[101, 133, 133, 100];-1;-1;CPF
173;145;22;211;201.305.173-56
87;96;22;82;NH 62
[74, 70, 49, 54];[378, 610, 609, 377];-1;-1;LEI Nº7 116 DE 29/08/83
73;769;18;59;7 VIA
115;315;12;296;TRAN MONTAGNERI STRAVOGIANNIS
[88, 87, 104, 105];[390, 598, 597, 390];-1;-1;ASSINATURA DO DIRETOR
[345, 343, 327, 330];[708, 897, 897, 708];-1;-1;DATA DE NASCIMENTO
289;698;20;142;24/07/1953
251;218;26;441;C.NAS=239 LV=351 FL=30
592;686;23;151;19/02/1972
[616, 615, 599, 599];[580, 648, 647, 579];-1;-1;DATA DE
[581, 580, 598, 598];[581, 673, 672, 579];-1;-1;EXPEDIÇÃO
