left;top;width;height;transcription
279;619;455;18;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
663;569;158;19;34.038.733-6
830;587;84;15;REGISTRO
858;569;56;15;GERAL
863;533;53;16;NOME
532;493;387;19;SATOSHI VICTORAZZI SORCI
839;457;78;16;FILIAÇÃO
565;414;354;20;RENOIR RISTORI KRUKAS
503;374;416;20;CAPELLARI SHIRAIVA VASEN
785;342;133;16;NATURALIDADE
640;297;281;22;SALTO VELOSO-SC
806;264;112;15;DOC ORIGEM
426;259;372;20;C.NAS=255 LV=152 FL=416
671;224;253;20;ÁGUAS FORMOSAS-MG
[919, 885, 886, 918];[186, 186, 200, 200];-1;-1;CPF
864;107;60;16;NH 54
[638, 410, 411, 638];[109, 109, 123, 123];-1;-1;ASSINATURA DO DIRETOR
[634, 396, 397, 632];[76, 74, 94, 93];-1;-1;LEI Nº7 116 DE 29/08/83
176;111;53;16;8 VIA
212;305;114;18;12/09/1963
[300, 112, 112, 301];[342, 342, 357, 355];-1;-1;DATA DE NASCIMENTO
203;577;117;18;24/04/1986
[430, 335, 335, 431];[570, 569, 588, 587];-1;-1;EXPEDIÇÃO
[431, 360, 360, 431];[603, 603, 587, 587];-1;-1;DATA DE
