left;top;width;height;transcription
602;293;23;464;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
572;254;21;168;94.009.320-0
574;103;17;87;REGISTRO
555;102;17;57;GERAL
508;101;18;55;NOME
447;101;20;81;FILIAÇÃO
416;109;26;267;NEIF HOJAIJ AT
376;107;23;280;MANTOVANINI RO
331;101;19;136;NATURALIDADE
302;107;22;190;PANAMBI-RS
244;102;17;115;DOC ORIGEM
152;98;19;35;CPF
152;151;20;189;424.900.251-98
521;178;19;331;COUBE CAPELOZA DICK
216;104;22;337;C.NAS=33 LV=356 FL=290
192;103;21;193;JAGUARIÚNA-SP
[89, 86, 101, 102];[408, 628, 628, 407];-1;-1;ASSINATURA DO DIRETOR
[57, 56, 75, 76];[400, 646, 646, 400];-1;-1;LEI Nº7 116 DE 29/08/83
574;760;16;112;19/07/1956
[588, 587, 571, 572];[597, 675, 672, 597];-1;-1;DATA DE
[554, 555, 572, 571];[600, 698, 696, 597];-1;-1;EXPEDIÇÃO
[344, 343, 326, 328];[914, 718, 720, 916];-1;-1;DATA DE NASCIMENTO
303;760;16;105;14/08/1995
