left;top;width;height;transcription
[620, 619, 610, 629, 636];[291, 294, 754, 754, 294];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
569;202;20;168;09.523.348-9
526;176;23;411;DALECIO TURTE APOLONI
493;98;20;116;CASTRO
[452, 451, 469, 469];[99, 177, 177, 99];-1;-1;FILIAÇÃO
412;98;24;432;BISSOLI TAMBELLI MIROL
373;97;24;395;CRISTINO RITTES OZAN
[336, 333, 350, 352];[97, 230, 230, 94];-1;-1;NATURALIDADE
294;97;23;387;PINDAMONHANGABA-SP
[259, 257, 272, 272];[95, 208, 207, 94];-1;-1;DOC ORIGEM
219;92;24;226;JOSELÂNDIA-MA
254;222;21;346;C.NAS=31 LV=133 FL=447
178;143;20;189;434.990.097-73
[177, 177, 192, 192];[94, 124, 124, 93];-1;-1;CPF
102;91;19;74;NH 07
[74, 70, 87, 91];[391, 630, 627, 391];-1;-1;LEI Nº7 116 DE 29/08/83
130;312;20;157;GICA KIO KAMO
[108, 103, 117, 121];[392, 609, 608, 393];-1;-1;ASSINATURA DO DIRETOR
91;797;18;56;1 VIA
286;703;20;141;10/06/1959
[324, 320, 335, 339];[724, 915, 914, 722];-1;-1;DATA DE NASCIMENTO
560;707;19;124;29/10/2010
[555, 554, 570, 571];[592, 690, 689, 592];-1;-1;EXPEDIÇÃO
[588, 587, 571, 573];[593, 663, 663, 593];-1;-1;DATA DE
[582, 580, 596, 597];[103, 186, 186, 101];-1;-1;REGISTRO
[565, 563, 579, 579];[102, 160, 159, 103];-1;-1;GERAL
[531, 529, 544, 544];[100, 155, 154, 101];-1;-1;NOME
