left;top;width;height;transcription
[212, 585, 585, 211];[34, 40, 61, 54];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
155;71;146;20;98.438.729-8
[52, 118, 118, 51];[92, 93, 80, 78];-1;-1;REGISTRO
[50, 96, 96, 47];[105, 106, 96, 94];-1;-1;GERAL
[50, 93, 93, 49];[135, 136, 123, 121];-1;-1;NOME
77;138;426;19;GERUNDA CAMARINHA IGLESIAS
[49, 112, 112, 48];[188, 188, 203, 201];-1;-1;FILIAÇÃO
76;203;430;19;BRENTAN LEWINGER GRIMALDI
73;238;351;20;ALUANA SCHON COMAR
[47, 157, 156, 47];[309, 310, 296, 297];-1;-1;NATURALIDADE
74;306;124;21;ITAPOÁ-SC
[46, 138, 138, 46];[376, 378, 364, 364];-1;-1;DOC ORIGEM
175;347;301;19;C.NAS=57 LV=35 FL=109
72;374;133;19;TEUTÔNIA-RS
111;412;161;16;652.645.143-80
[45, 72, 73, 45];[444, 444, 432, 432];-1;-1;CPF
71;470;58;15;NH 40
[294, 489, 488, 295];[526, 530, 515, 512];-1;-1;LEI Nº7 116 DE 29/08/83
260;469;157;11;IANAZE ZARELLI SCHROLL
[296, 474, 474, 296];[498, 502, 489, 486];-1;-1;ASSINATURA DO DIRETOR
638;480;49;15;3 VIA
563;320;102;15;18/08/1991
[559, 718, 718, 558];[302, 304, 318, 316];-1;-1;DATA DE NASCIMENTO
564;77;104;16;09/08/2011
[449, 504, 505, 450];[96, 97, 84, 82];-1;-1;DATA DE
[449, 528, 528, 449];[113, 114, 98, 98];-1;-1;EXPEDIÇÃO
