left;top;width;height;transcription
[740, 273, 274, 740];[635, 621, 599, 613];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
677;578;147;19;21.585.323-4
517;499;410;22;VERONEZI TATHY ARAMAKI
[929, 878, 879, 931];[535, 533, 519, 521];-1;-1;NOME
[856, 932, 933, 856];[457, 458, 443, 441];-1;-1;FILIAÇÃO
[846, 930, 930, 846];[586, 589, 571, 571];-1;-1;REGISTRO
[930, 871, 871, 928];[554, 553, 567, 570];-1;-1;GERAL
473;418;454;23;PERDAO GIRASOL PECANHA
584;384;340;22;ACENSO ROLO DIMITRI
[934, 801, 801, 937];[340, 337, 322, 327];-1;-1;NATURALIDADE
742;309;187;25;GUAPORÉ-RS
394;267;413;23;C.NAS=485 LV=401 FL=402
624;231;307;20;ARRAIAL DO CABO-RJ
685;192;198;20;015.845.556-88
[936, 824, 824, 938];[261, 256, 243, 246];-1;-1;DOC ORIGEM
[940, 907, 910, 941];[180, 180, 163, 165];-1;-1;CPF
863;117;75;19;NH 22
364;120;356;18;KENTO TUROLLA SCALABRINI
[642, 422, 423, 640];[98, 92, 109, 114];-1;-1;ASSINATURA DO DIRETOR
[643, 406, 405, 642];[65, 59, 77, 85];-1;-1;LEI Nº7 116 DE 29/08/83
179;99;59;18;2 VIA
205;295;125;19;02/12/1975
[305, 109, 110, 305];[325, 319, 307, 311];-1;-1;DATA DE NASCIMENTO
204;564;116;18;26/01/1950
[435, 368, 370, 437];[575, 573, 559, 562];-1;-1;DATA DE
[438, 342, 343, 435];[543, 539, 558, 559];-1;-1;EXPEDIÇÃO
