left;top;width;height;transcription
[426, 423, 408, 411];[178, 460, 460, 176];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
377;115;17;92;60.457.155-0
[393, 394, 383, 384];[62, 112, 113, 61];-1;-1;REGISTRO
[373, 372, 382, 382];[62, 96, 96, 61];-1;-1;GERAL
[352, 351, 359, 361];[61, 94, 92, 61];-1;-1;NOME
332;54;17;230;FIKS TSUHA KOMATSUBARA
[301, 299, 311, 311];[60, 110, 108, 61];-1;-1;FILIAÇÃO
282;55;11;258;HULS GOLOVATY ZALANDAUSKAS
257;55;11;236;YUKIHARU DEUTSCH FALOTICO
[236, 235, 225, 227];[62, 144, 143, 61];-1;-1;NATURALIDADE
209;56;14;149;MATERLÂNDIA-MG
188;131;12;197;C.NAS=53 LV=130 FL=102
[186, 184, 173, 175];[61, 131, 131, 61];-1;-1;DOC ORIGEM
161;53;12;94;CUSTÓDIA-PE
134;84;9;89;839.175.906-70
[134, 133, 123, 123];[61, 82, 81, 60];-1;-1;CPF
85;53;12;43;NH 91
95;194;9;142;GUEVARA INONHE HSIN
[81, 80, 89, 91];[244, 377, 377, 244];-1;-1;ASSINATURA DO DIRETOR
[59, 57, 70, 71];[242, 388, 388, 242];-1;-1;LEI Nº7 116 DE 29/08/83
82;478;11;35;6 VIA
208;420;11;71;28/04/1995
[233, 232, 222, 223];[442, 563, 562, 442];-1;-1;DATA DE NASCIMENTO
380;419;17;77;28/10/2011
[392, 391, 382, 381];[360, 401, 402, 360];-1;-1;DATA DE
[369, 371, 380, 380];[360, 420, 418, 359];-1;-1;EXPEDIÇÃO
