left;top;width;height;transcription
[514, 321, 322, 515];[36, 38, 53, 51];-1;-1;LEI Nº7 116 DE 29/08/83
[516, 339, 339, 516];[66, 67, 79, 77];-1;-1;ASSINATURA DO DIRETOR
280;87;298;12;HORIGOSHI SUEKICHI MASTRONARDI
150;67;49;15;9 VIA
696;59;64;16;NH 55
[760, 733, 734, 760];[119, 120, 133, 131];-1;-1;CPF
582;126;138;16;579.588.203-80
654;160;104;15;LAMIM-MG
[759, 667, 668, 761];[186, 189, 202, 201];-1;-1;DOC ORIGEM
381;196;279;16;C.NAS=345 LV=82 FL=101
570;227;191;19;ANTÔNIO JOÃO-MS
[763, 652, 652, 762];[253, 255, 267, 266];-1;-1;NATURALIDADE
458;293;303;15;CAMANZANO CARELLI KIYAN
[263, 110, 110, 262];[258, 260, 273, 270];-1;-1;DATA DE NASCIMENTO
182;226;99;21;21/03/1956
539;322;223;20;BISCAIA VITALI PENNA
[763, 698, 699, 762];[352, 352, 368, 367];-1;-1;FILIAÇÃO
402;394;363;16;MALGUEIRO GIUSEPIN PANNUTI
[763, 718, 719, 764];[419, 419, 433, 431];-1;-1;NOME
[763, 716, 717, 763];[448, 449, 462, 460];-1;-1;GERAL
[762, 696, 696, 763];[476, 477, 464, 463];-1;-1;REGISTRO
547;461;135;17;51.665.564-4
[607, 240, 241, 607];[503, 504, 519, 517];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
170;466;114;16;26/03/2002
[375, 296, 296, 374];[452, 454, 467, 467];-1;-1;EXPEDIÇÃO
[374, 315, 315, 375];[481, 480, 467, 468];-1;-1;DATA DE
