left;top;width;height;transcription
[739, 736, 276, 276, 736];[620, 619, 610, 629, 636];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
660;569;168;20;86.314.079-8
438;526;416;23;MORAGAS CHAER ADRIEN
832;493;99;20;ROCHA
[931, 853, 853, 931];[452, 451, 469, 469];-1;-1;FILIAÇÃO
443;412;489;24;LINDONI SCARELLI TESSUTO
569;373;364;24;MAMI BELLANI BIBBO
[933, 800, 800, 936];[336, 333, 350, 352];-1;-1;NATURALIDADE
691;294;242;29;RURÓPOLIS-PA
[935, 822, 823, 936];[259, 257, 272, 272];-1;-1;DOC ORIGEM
715;219;222;19;BARCARENA-PA
462;254;346;21;C.NAS=216 LV=151 FL=70
701;178;183;20;716.819.989-71
[936, 906, 906, 937];[177, 177, 192, 192];-1;-1;CPF
864;102;75;19;NH 66
[639, 400, 403, 639];[74, 70, 87, 91];-1;-1;LEI Nº7 116 DE 29/08/83
376;130;342;15;SAKAGUTE FRANCKLIN CARAVIERI
[638, 421, 422, 637];[108, 103, 117, 121];-1;-1;ASSINATURA DO DIRETOR
177;91;56;18;7 VIA
186;286;142;20;26/06/2012
[306, 115, 116, 308];[324, 320, 335, 339];-1;-1;DATA DE NASCIMENTO
199;559;122;20;17/05/1977
[438, 340, 341, 438];[555, 554, 570, 571];-1;-1;EXPEDIÇÃO
[437, 367, 367, 437];[588, 587, 571, 573];-1;-1;DATA DE
[927, 844, 844, 929];[582, 580, 596, 597];-1;-1;REGISTRO
[928, 870, 871, 927];[565, 563, 579, 579];-1;-1;GERAL
[930, 875, 876, 929];[531, 529, 544, 544];-1;-1;NOME
