left;top;width;height;transcription
[607, 240, 241, 609];[523, 516, 497, 504];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
550;474;125;15;09.656.693-0
[760, 694, 694, 761];[488, 488, 476, 476];-1;-1;REGISTRO
[761, 715, 716, 760];[462, 461, 473, 474];-1;-1;GERAL
[761, 718, 719, 762];[444, 444, 431, 432];-1;-1;NOME
457;406;296;18;DELPHO HARIMA MURIS
[762, 701, 701, 764];[379, 379, 364, 364];-1;-1;FILIAÇÃO
373;340;382;18;GIANNETTI SERIGATO TOURON
376;308;378;18;TRASFERETI JACONETII NILSEN
[764, 657, 658, 764];[280, 279, 267, 268];-1;-1;NATURALIDADE
621;245;136;15;SILVEIRAS-SP
363;210;295;16;C.NAS=294 LV=186 FL=124
[765, 674, 674, 765];[214, 214, 202, 201];-1;-1;DOC ORIGEM
543;177;214;19;NOVA ALIANÇA-SP
568;146;148;15;747.570.150-62
[765, 739, 740, 765];[146, 145, 132, 133];-1;-1;CPF
700;82;58;16;NH 71
[524, 353, 353, 526];[81, 77, 65, 68];-1;-1;ASSINATURA DO DIRETOR
[527, 336, 337, 527];[53, 51, 35, 38];-1;-1;LEI Nº7 116 DE 29/08/83
147;76;53;16;9 VIA
145;235;133;19;30/11/1997
111;259;154;14;DATA DE NASCIMENTO
142;465;132;19;11/09/1984
315;470;58;14;DATA DE
295;454;78;15;EXPEDIÇÃO
