left;top;width;height;transcription
[623, 616, 596, 600];[270, 738, 739, 269];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
562;173;19;143;05.692.660-1
[521, 521, 507, 507];[129, 76, 75, 129];-1;-1;NOME
[573, 572, 559, 559];[78, 162, 162, 77];-1;-1;REGISTRO
[543, 542, 554, 556];[77, 136, 136, 78];-1;-1;GERAL
483;75;21;371;PLINA LARAMI QUITAKAVA
[444, 445, 429, 429];[75, 155, 155, 74];-1;-1;FILIAÇÃO
408;73;20;365;KAFOURI DATTI VINHOLES
369;72;20;271;ADAS PAULO LAMA
[331, 329, 315, 317];[74, 209, 209, 73];-1;-1;NATURALIDADE
296;73;23;137;PIANCÓ-PB
254;197;20;363;C.NAS=275 LV=422 FL=406
217;72;20;457;SANTA TEREZINHA DE ITAIPU-PR
177;121;20;172;455.678.724-61
[172, 171, 157, 157];[73, 107, 107, 73];-1;-1;CPF
103;71;16;61;NH 91
115;295;15;259;BIRMANN FRIGI MAMEDES
[92, 88, 102, 106];[376, 599, 597, 375];-1;-1;ASSINATURA DO DIRETOR
[75, 72, 55, 57];[374, 614, 614, 374];-1;-1;LEI Nº7 116 DE 29/08/83
94;774;18;60;4 VIA
[325, 324, 308, 312];[711, 906, 906, 710];-1;-1;DATA DE NASCIMENTO
[250, 252, 238, 237];[187, 71, 71, 188];-1;-1;DOC ORIGEM
558;681;18;123;30/04/1993
[569, 569, 555, 557];[576, 643, 642, 575];-1;-1;DATA DE
[553, 552, 536, 536];[574, 671, 670, 573];-1;-1;EXPEDIÇÃO
286;680;21;141;01/12/1982
