left;top;width;height;transcription
[523, 527, 511, 507];[519, 326, 326, 521];-1;-1;LEI Nº7 116 DE 29/08/83
464;333;12;249;ARISTEU FLUMIGNAN RIVALDO
421;561;16;147;791.579.618-67
378;651;24;100;IPORÃ-PR
[438, 426, 426, 439];[760, 760, 732, 732];-1;-1;CPF
355;300;19;352;C.NAS=326 LV=384 FL=389
[370, 370, 358, 357];[758, 668, 667, 759];-1;-1;DOC ORIGEM
322;607;16;142;IMBITUVA-PR
[302, 304, 292, 290];[759, 649, 648, 760];-1;-1;NATURALIDADE
256;417;18;337;JEN BALLESTERO SPACCA
222;330;18;419;BERTOLIM LAMANERES BASSETTO
[204, 204, 190, 191, 205];[753, 691, 691, 756, 756];-1;-1;FILIAÇÃO
156;284;18;465;YAMASHITAFUJI SCONTRE GABRIELE
[137, 139, 125, 124];[756, 710, 712, 756];-1;-1;NOME
[109, 109, 97, 97];[756, 707, 707, 753];-1;-1;GERAL
[91, 94, 79, 79];[754, 685, 685, 754];-1;-1;REGISTRO
89;532;19;137;30.586.089-6
94;152;18;116;08/03/2003
328;156;18;114;09/09/1971
[310, 313, 298, 297];[251, 92, 94, 252];-1;-1;DATA DE NASCIMENTO
[57, 63, 46, 40];[600, 228, 228, 601];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
[115, 116, 100, 99];[358, 281, 281, 359];-1;-1;EXPEDIÇÃO
[85, 86, 99, 98];[359, 302, 304, 361];-1;-1;DATA DE
493;137;16;53;6 VIA
486;696;16;60;NH 80
482;336;15;186;ASSINATURA DO DIRETOR
