left;top;width;height;transcription
[25, 32, 51, 44];[607, 240, 241, 609];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
59;552;15;123;25.197.829-1
[60, 60, 72, 72];[760, 694, 694, 761];-1;-1;REGISTRO
[86, 87, 75, 74];[761, 715, 716, 760];-1;-1;GERAL
[104, 104, 117, 116];[761, 718, 719, 762];-1;-1;NOME
124;324;18;430;MICHELINO COMPAGNO BALSEIRO
[169, 169, 184, 184];[762, 701, 701, 764];-1;-1;FILIAÇÃO
190;413;18;341;BREILA GENOVA PAULUCCI
222;422;18;332;PARAGUAI ALCEU FACUNTE
[268, 269, 281, 280];[764, 657, 658, 764];-1;-1;NATURALIDADE
285;594;18;163;ÁGUA LIMPA-GO
322;376;16;282;C.NAS=96 LV=257 FL=375
[334, 334, 346, 347];[765, 674, 674, 765];-1;-1;DOC ORIGEM
352;605;16;152;CRISTINA-MG
387;568;17;149;690.178.651-48
[402, 403, 416, 415];[765, 739, 740, 765];-1;-1;CPF
450;698;16;60;NH 24
[467, 471, 483, 480];[524, 353, 353, 526];-1;-1;ASSINATURA DO DIRETOR
[495, 497, 513, 510];[527, 336, 337, 527];-1;-1;LEI Nº7 116 DE 29/08/83
456;147;16;51;1 VIA
294;144;19;134;25/05/2008
275;111;14;154;DATA DE NASCIMENTO
64;142;19;134;30/11/1983
64;315;14;58;DATA DE
79;295;15;78;EXPEDIÇÃO
