left;top;width;height;transcription
[600, 227, 227, 601];[541, 535, 514, 521];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
511;485;145;19;33.916.203-6
[760, 694, 694, 761];[483, 482, 495, 497];-1;-1;REGISTRO
[762, 716, 716, 765];[470, 469, 479, 481];-1;-1;GERAL
[762, 719, 719, 763];[440, 439, 452, 454];-1;-1;NOME
370;418;365;19;AYSA BOMGIOVANI TORETTI
[763, 700, 700, 764];[387, 387, 372, 374];-1;-1;FILIAÇÃO
389;353;347;19;KATAGI GALIZONI OPATA
420;317;318;20;FIDEL GALBIATTI MAU
[765, 655, 656, 765];[266, 265, 279, 278];-1;-1;NATURALIDADE
633;248;105;16;PILAR-AL
[766, 674, 674, 766];[199, 197, 211, 211];-1;-1;DOC ORIGEM
324;209;313;19;C.NAS=329 LV=277 FL=61
655;177;86;20;PATU-RN
540;146;160;17;533.942.588-62
[767, 740, 739, 767];[131, 131, 143, 143];-1;-1;CPF
685;90;56;15;NH 71
[518, 323, 324, 517];[49, 45, 60, 63];-1;-1;LEI Nº7 116 DE 29/08/83
349;96;202;9;BATARCE SOBRANO AJZENBERG
[516, 338, 338, 516];[77, 73, 86, 89];-1;-1;ASSINATURA DO DIRETOR
125;80;49;15;5 VIA
145;240;104;15;11/03/2005
[253, 94, 94, 254];[273, 271, 257, 259];-1;-1;DATA DE NASCIMENTO
142;481;105;17;17/04/1980
[363, 308, 307, 362];[479, 478, 491, 493];-1;-1;DATA DE
[363, 284, 284, 363];[462, 461, 477, 477];-1;-1;EXPEDIÇÃO
