left;top;width;height;transcription
[216, 582, 583, 216];[61, 72, 54, 44];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
130;77;137;18;30.763.573-9
[64, 130, 129, 61];[91, 93, 81, 80];-1;-1;REGISTRO
[63, 108, 107, 62];[106, 108, 96, 95];-1;-1;GERAL
[61, 104, 104, 61];[136, 137, 126, 125];-1;-1;NOME
51;142;404;20;NORCHETE MARONESI LINUS
[60, 122, 122, 59];[204, 204, 190, 191];-1;-1;FILIAÇÃO
49;209;509;20;SORRENTINO SACOMAN BROCHMAN
47;241;345;19;GALVANO NAYLOR SAKA
48;303;172;22;TACAIMBÓ-PE
[57, 164, 164, 57];[290, 293, 305, 302];-1;-1;NATURALIDADE
[56, 147, 146, 54];[368, 370, 357, 357];-1;-1;DOC ORIGEM
46;370;188;23;PAPANDUVA-SC
86;409;160;19;582.950.849-41
[54, 81, 81, 53];[438, 437, 426, 426];-1;-1;CPF
45;474;68;18;NH 22
[293, 481, 483, 292];[529, 534, 518, 515];-1;-1;LEI Nº7 116 DE 29/08/83
230;466;272;14;POIANI PECORARO SHIZUKA
[294, 468, 467, 293];[499, 504, 491, 487];-1;-1;ASSINATURA DO DIRETOR
602;488;55;16;9 VIA
529;314;112;21;14/05/1956
[555, 707, 707, 554];[303, 308, 321, 317];-1;-1;DATA DE NASCIMENTO
533;88;116;18;21/11/1963
[452, 509, 509, 451];[89, 91, 103, 101];-1;-1;DATA DE
[452, 529, 530, 451];[118, 120, 105, 104];-1;-1;EXPEDIÇÃO
147;345;309;19;C.NAS=56 LV=210 FL=462
