left;top;width;height;transcription
[291, 294, 754, 754, 294];[60, 61, 70, 51, 44];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
203;91;167;20;70.012.319-2
175;131;414;23;TSUIOSHI ALKMIN DATORI
99;167;170;20;FERNANDES
[99, 177, 177, 99];[228, 229, 211, 211];-1;-1;FILIAÇÃO
97;244;453;24;ALEKSEY GHIDONI VIEITEZ
96;283;483;24;THAMA KRUGER BECEGATO
[97, 230, 230, 94];[344, 347, 330, 328];-1;-1;NATURALIDADE
96;357;250;29;SÃO FIDÉLIS-RJ
[95, 208, 207, 94];[421, 423, 408, 408];-1;-1;DOC ORIGEM
93;442;158;19;IBIPEBA-BA
222;405;363;21;C.NAS=337 LV=102 FL=306
146;482;186;20;153.571.216-30
[94, 124, 124, 93];[503, 503, 488, 488];-1;-1;CPF
91;559;75;19;NH 48
[391, 630, 627, 391];[606, 610, 593, 589];-1;-1;LEI Nº7 116 DE 29/08/83
311;530;232;20;WOLPP AUBIN YAGURA
[392, 609, 608, 393];[572, 577, 563, 559];-1;-1;ASSINATURA DO DIRETOR
794;571;59;18;4 VIA
702;374;142;20;20/02/1966
[724, 915, 914, 722];[356, 360, 345, 341];-1;-1;DATA DE NASCIMENTO
707;101;124;20;09/02/1963
[592, 690, 689, 592];[125, 126, 110, 109];-1;-1;EXPEDIÇÃO
[593, 663, 663, 593];[92, 93, 109, 107];-1;-1;DATA DE
[103, 186, 186, 101];[98, 100, 84, 83];-1;-1;REGISTRO
[102, 160, 159, 103];[115, 117, 101, 101];-1;-1;GERAL
[100, 155, 154, 101];[149, 151, 136, 136];-1;-1;NOME
