left;top;width;height;transcription
[69, 77, 55, 47];[875, 326, 328, 878];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
107;794;24;190;40.136.029-5
[110, 114, 94, 92];[1104, 990, 992, 1106];-1;-1;REGISTRO
[131, 134, 113, 112];[1106, 1035, 1036, 1106];-1;-1;GERAL
156;560;28;448;BAN FORTULAN LOULY
[177, 180, 157, 156];[1106, 1040, 1042, 1109];-1;-1;NOME
205;887;23;212;NASCIMENTO
[279, 280, 260, 260];[1106, 1008, 1009, 1107];-1;-1;FILIAÇÃO
301;430;27;669;MIYADAIRA FONTEBASSO FUTIWAKI
353;696;24;408;DANES ANDREA ADDAD
[424, 428, 406, 405];[1111, 945, 946, 1111];-1;-1;NATURALIDADE
448;854;24;248;BOM JESUS-RS
501;489;26;462;C.NAS=464 LV=129 FL=126
[524, 525, 505, 504];[1111, 966, 966, 1111];-1;-1;DOC ORIGEM
552;788;23;317;CORONEL PILAR-RS
[628, 628, 606, 607];[1110, 1069, 1070, 1115];-1;-1;CPF
602;819;24;224;746.384.853-16
666;937;13;183;MARAJÁ DO SENA-MA
[724, 729, 712, 706];[758, 484, 485, 760];-1;-1;ASSINATURA DO DIRETOR
[769, 773, 746, 746];[753, 469, 469, 754];-1;-1;LEI Nº7 116 DE 29/08/83
710;195;22;72;1 VIA
459;230;23;160;04/08/2016
[435, 440, 418, 415];[371, 126, 127, 371];-1;-1;DATA DE NASCIMENTO
115;238;22;146;09/03/1961
[137, 142, 119, 118];[525, 403, 402, 527];-1;-1;EXPEDIÇÃO
[97, 101, 119, 119];[527, 434, 435, 528];-1;-1;DATA DE
700;1022;23;84;NH 21
