left;top;width;height;transcription
[757, 288, 288, 760];[598, 602, 583, 575];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
712;542;117;15;06.650.728-5
548;494;304;18;JANILSON JOHANSEN MA
[897, 955, 957, 897];[499, 497, 483, 485];-1;-1;NOME
[953, 857, 856, 954];[548, 550, 535, 532];-1;-1;REGISTRO
[953, 890, 893, 954];[518, 519, 534, 532];-1;-1;GERAL
[953, 869, 869, 954];[424, 426, 409, 406];-1;-1;FILIAÇÃO
565;397;386;20;MONIER DONATE CYLLENE
[950, 812, 813, 951];[310, 311, 296, 294];-1;-1;NATURALIDADE
819;282;132;16;NILÓPOLIS-RJ
[951, 951, 829, 829, 954];[232, 232, 232, 219, 218];-1;-1;DOC ORIGEM
693;175;260;15;C.NAS=121 LV=361 FL=26
531;207;420;28;CMC= SÃO JOSÉ DO PIAUÍ-PI ,SEDE
393;99;305;15;CAMPMANY LOUREIRO ENIVAN
[953, 915, 915, 953];[151, 152, 138, 137];-1;-1;CPF
816;117;136;14;958.952.897-03
229;293;98;15;04/03/1953
[324, 124, 123, 326];[318, 323, 305, 303];-1;-1;DATA DE NASCIMENTO
249;551;97;15;10/09/2015
[461, 384, 384, 464];[557, 557, 542, 541];-1;-1;DATA DE
[464, 355, 357, 462];[527, 527, 543, 543];-1;-1;EXPEDIÇÃO
[652, 391, 391, 647];[55, 55, 37, 34];-1;-1;LEI Nº7 116 DE 29/08/83
[637, 399, 399, 637];[81, 84, 66, 64];-1;-1;ASSINATURA DO DIRETOR
