left;top;width;height;transcription
[274, 741, 740, 274];[40, 54, 76, 62];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
190;78;145;19;25.043.976-1
88;154;447;22;MATSUSHITA BAUAB BITELLO
[85, 136, 135, 83];[140, 142, 156, 154];-1;-1;NOME
[158, 82, 81, 158];[218, 217, 232, 234];-1;-1;FILIAÇÃO
[168, 84, 84, 168];[89, 86, 104, 104];-1;-1;REGISTRO
[84, 143, 143, 86];[121, 122, 108, 105];-1;-1;GERAL
86;234;541;28;TAKAKURA MUCCHIOTTI ABURESI
91;269;347;22;MASETTI EMIKA RIGONI
[80, 213, 213, 77];[335, 338, 353, 348];-1;-1;NATURALIDADE
86;346;145;20;ITINGA-MG
207;385;392;23;C.NAS=188 LV=38 FL=441
84;419;363;25;BOA VISTA DO BURICÁ-RS
130;463;199;20;441.909.113-48
[78, 190, 190, 76];[414, 419, 432, 429];-1;-1;DOC ORIGEM
[74, 107, 104, 73];[495, 495, 512, 510];-1;-1;CPF
76;539;74;19;NH 87
293;537;335;18;MUR STEFANELLI MERCHED
[372, 592, 591, 374];[577, 583, 566, 561];-1;-1;ASSINATURA DO DIRETOR
[371, 608, 609, 372];[610, 616, 598, 590];-1;-1;LEI Nº7 116 DE 29/08/83
777;558;58;18;3 VIA
684;361;124;19;21/12/1958
[709, 905, 904, 709];[350, 356, 368, 364];-1;-1;DATA DE NASCIMENTO
696;93;114;18;10/06/1990
[579, 646, 644, 577];[100, 102, 116, 113];-1;-1;DATA DE
[576, 672, 671, 579];[132, 136, 117, 116];-1;-1;EXPEDIÇÃO
